"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_5321_length_2912_cov_46.352237_g2742_i0.p1",187.344286984605,-3.62273160476227,0.431931540749221,-8.38728192546053,4.97510902419211e-17,1.06313104737961e-12
"NODE_2741_length_3787_cov_148.975767_g1061_i7.p1",361.88876622621,-3.18019982959992,0.389213010443704,-8.17084666818944,3.06232642783215e-16,3.27194267181726e-12
"NODE_23338_length_1011_cov_91.304904_g13773_i0.p1",128.154171129695,-6.44899209873368,0.842896648591286,-7.65098794675686,1.99441038059258e-14,1.42061851409609e-10
"NODE_19851_length_1217_cov_125.997378_g10510_i1.p1",133.543128472274,-3.38095122676543,0.444262226843079,-7.61026038785791,2.73544254603669e-14,1.46134179415645e-10
"NODE_100_length_8148_cov_23.666625_g56_i0.p1",160.629314690055,-3.01203000042191,0.40098261495331,-7.51162241977156,5.83990235785736e-14,2.13567401568975e-10
"NODE_24982_length_912_cov_393.824791_g14179_i1.p2",259.043836957673,-11.3597725504878,1.51299081693967,-7.50815697180847,5.99655767426576e-14,2.13567401568975e-10
"NODE_5299_length_2916_cov_79.446711_g2452_i2.p1",264.122011355198,-3.33634439147761,0.456344010872884,-7.31102920600607,2.65103898468031e-13,7.08125650795418e-10
"NODE_7228_length_2488_cov_344.763561_g3780_i0.p1",1154.85337730736,-6.83644929880956,0.934972657071145,-7.3119243082735,2.63343450986753e-13,7.08125650795418e-10
"NODE_1203_length_4819_cov_14.677413_g584_i0.p1",105.514823910708,-4.47849472663943,0.621960741920902,-7.20060676628523,5.99451973056358e-13,1.42329880136015e-09
"NODE_3532_length_3461_cov_303.816411_g849_i2.p1",622.164951208076,2.41366358789224,0.344969152468684,6.99675194323743,2.61964489517769e-12,5.59791917650521e-09
"NODE_6808_length_2572_cov_52.735094_g3549_i0.p1",69.0688504216299,7.42813401101933,1.0728637783753,6.92365066352428,4.401505472982e-12,8.5505245865593e-09
"NODE_32056_length_531_cov_110.762009_g21083_i0.p1",77.7309248603814,-4.0006948323824,0.582390189527806,-6.86944063330825,6.44541330923819e-12,1.14776697504259e-08
"NODE_7391_length_2458_cov_103.186164_g3881_i0.p1",120.288460692244,-10.2374418891569,1.53410214069252,-6.6732465965633,2.5020543708421e-11,4.11279998850191e-08
"NODE_29756_length_646_cov_201.848168_g18884_i0.p2",170.728749360476,-3.47174931407338,0.524328495431081,-6.62132488378121,3.55993581201326e-11,5.22903497059153e-08
"NODE_357_length_6488_cov_74.225565_g181_i0.p2",222.517632364064,-2.95824178399452,0.447080301265512,-6.61680189357679,3.67052854877968e-11,5.22903497059153e-08
"NODE_13633_length_1690_cov_100.914657_g7556_i0.p1",223.847077892016,-6.4243506513021,0.97365523389754,-6.59817811032087,4.16241035487586e-11,5.23214981607895e-08
"NODE_17031_length_1414_cov_98.523490_g9630_i0.p1",208.067048404972,-3.04301151272863,0.461037984528654,-6.60034881039071,4.10191517786903e-11,5.23214981607895e-08
"NODE_25090_length_905_cov_383.784856_g14179_i2.p2",181.580892889178,-10.8493652818887,1.66263692446906,-6.52539656867855,6.78218469425209e-11,8.05158359619294e-08
"NODE_1300_length_4729_cov_316.371993_g270_i3.p5",571.882479326179,-2.36736575772821,0.36362101120512,-6.51053070305875,7.48857599273422e-11,8.42228317835461e-08
"NODE_26698_length_816_cov_303.752355_g3780_i3.p1",136.747031279811,-4.81998543526634,0.746595706175289,-6.45595118669847,1.07541271139686e-10,1.14902471149198e-07
"NODE_4714_length_3064_cov_316.673353_g2074_i2.p3",165.169051635779,-2.7040170985817,0.419443400009427,-6.44667933390042,1.14327320316695e-10,1.15203639671097e-07
"NODE_4937_length_3006_cov_39.699625_g2528_i0.p1",143.372691924678,-3.93497553509027,0.610916062321835,-6.44110668842964,1.18605459907535e-10,1.15203639671097e-07
"NODE_6322_length_2670_cov_114.922603_g3274_i0.p1",452.546245490125,-2.22699044501822,0.350915079837511,-6.34623751720619,2.20644499168527e-10,2.0499792620575e-07
"NODE_31883_length_539_cov_88.712446_g20914_i0.p2",62.9432838129391,-3.94691341184574,0.623940401520305,-6.32578592799667,2.51946903373385e-10,2.24327224091078e-07
"NODE_14244_length_1639_cov_249.282248_g7913_i0.p1",502.564708309706,-8.12210874827268,1.3032672048883,-6.2321131981287,4.60184741076401e-10,3.93347509282465e-07
"NODE_13872_length_1670_cov_486.000626_g7707_i0.p2",678.651085956551,-9.80400470733269,1.58663769682826,-6.17910738345067,6.44650385682486e-10,5.29828234294194e-07
