"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_3444_length_2806_cov_332.564581_g2320_i0.p1",744.659373355868,-4.84356103234937,0.495719822014748,-9.77076327644866,1.50315309460396e-22,3.07484997032187e-18
"NODE_15284_length_1308_cov_92.731984_g10198_i0.p1",76.6720554319518,3.24199423373564,0.406959251518087,7.96638538537205,1.63382880065254e-15,1.67108009730741e-11
"NODE_1010_length_4077_cov_50.088911_g42_i15.p2",118.311634055163,3.30020902683122,0.421972991860362,7.82090107777162,5.2446548022581e-15,3.57615528783306e-11
"NODE_2678_length_3075_cov_56.533644_g1573_i2.p1",83.1947871361081,3.08432723404435,0.427166060680187,7.22044075583414,5.18193420873207e-13,2.65004115434558e-09
"NODE_297_length_5653_cov_40.894624_g199_i0.p1",86.5993226450244,4.56019443780971,0.643906641142723,7.08207393189308,1.42012852567099e-12,5.81002982422517e-09
"NODE_4096_length_2622_cov_59.573166_g2349_i1.p1",71.8759162227221,-9.06091558071433,1.31311492990427,-6.90032180303891,5.18848687095267e-12,1.76892812387013e-08
"NODE_11448_length_1611_cov_461.559818_g7561_i0.p1",436.590765975303,-7.89073421761322,1.15989696935916,-6.80296131989452,1.02490173823875e-11,2.99505570820168e-08
"NODE_3267_length_2860_cov_16.335127_g2205_i0.p2",33.8027343387537,4.30724143560271,0.637538403513129,6.75605016398672,1.41804339557779e-11,3.6259369624924e-08
"NODE_7031_length_2081_cov_90.511454_g4603_i0.p1",162.927474395947,4.92018054795912,0.732673210564137,6.71538207896358,1.87574066054237e-11,4.26335010578386e-08
"NODE_23860_length_805_cov_10400.010929_g16662_i0.p1",593.6064472166,-8.4159238614567,1.284984565684,-6.54943575682317,5.77548793359677e-11,1.18143381169655e-07
"NODE_2019_length_3376_cov_45.576446_g1371_i0.p1",57.8736240812125,-9.39957885266712,1.46044735711733,-6.43609562978036,1.2258581712636e-10,2.27965043194256e-07
"NODE_19305_length_1051_cov_66.874233_g13151_i0.p1",53.9487480900737,-7.42090087707362,1.17344256361594,-6.32404269895091,2.54807264982054e-10,4.00949031728684e-07
"NODE_4180_length_2599_cov_161.133413_g2622_i1.p1",261.988761366414,-7.4338436986781,1.17406912293623,-6.33169168105437,2.42487675311684e-10,4.00949031728684e-07
