"ko_id","symbol","name","Description","organism","treatment","NES"
"K09838"," ZEP, ABA1"," zeaxanthin epoxidase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K09838"," ZEP, ABA1"," zeaxanthin epoxidase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K15371"," GDH2"," glutamate dehydrogenase "," Nitrogen metabolism","G. huxleyi","Low Iron",-2.24580078892326
"K15371"," GDH2"," glutamate dehydrogenase "," Microbial metabolism in diverse environments","G. oceanica","Low Iron",-2.32812355703468
"K00525"," E1.17.4.1A, nrdA, nrdE"," ribonucleoside-diphosphate reductase alpha chain "," Pyrimidine metabolism","G. oceanica","High Iron",2.13579560105754
"K06443"," lcyB, crtL1, crtY"," lycopene beta-cyclase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K06443"," lcyB, crtL1, crtY"," lycopene beta-cyclase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K00053"," ilvC"," ketol-acid reductoisomerase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K00053"," ilvC"," ketol-acid reductoisomerase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K03841"," FBP, fbp"," fructose-1,6-bisphosphatase I "," Microbial metabolism in diverse environments","G. oceanica","Low Iron",-2.32812355703468
"K01792"," E5.1.3.15"," glucose-6-phosphate 1-epimerase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K01792"," E5.1.3.15"," glucose-6-phosphate 1-epimerase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K00134"," GAPDH, gapA"," glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K00134"," GAPDH, gapA"," glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K03403"," chlH, bchH"," magnesium chelatase subunit H "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K03403"," chlH, bchH"," magnesium chelatase subunit H "," Porphyrin and chlorophyll metabolism","C. closterium UGA8","Low Iron",-2.11480753190049
"K03403"," chlH, bchH"," magnesium chelatase subunit H "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K10808"," RRM2"," ribonucleoside-diphosphate reductase subunit M2 "," Pyrimidine metabolism","G. oceanica","High Iron",2.13579560105754
"K00648"," fabH"," 3-oxoacyl-[acyl-carrier-protein] synthase III "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K00231"," PPOX, hemY"," protoporphyrinogen/coproporphyrinogen III oxidase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K00231"," PPOX, hemY"," protoporphyrinogen/coproporphyrinogen III oxidase "," Porphyrin and chlorophyll metabolism","C. closterium UGA8","Low Iron",-2.11480753190049
"K00231"," PPOX, hemY"," protoporphyrinogen/coproporphyrinogen III oxidase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K02492"," hemA"," glutamyl-tRNA reductase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K02492"," hemA"," glutamyl-tRNA reductase "," Porphyrin and chlorophyll metabolism","C. closterium UGA8","Low Iron",-2.11480753190049
"K02492"," hemA"," glutamyl-tRNA reductase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K02291"," crtB"," 15-cis-phytoene synthase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K02291"," crtB"," 15-cis-phytoene synthase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K11262"," ACACA"," acetyl-CoA carboxylase / biotin carboxylase 1 "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K11262"," ACACA"," acetyl-CoA carboxylase / biotin carboxylase 1 "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K00099"," dxr"," 1-deoxy-D-xylulose-5-phosphate reductoisomerase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K00099"," dxr"," 1-deoxy-D-xylulose-5-phosphate reductoisomerase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K01637"," E4.1.3.1, aceA"," isocitrate lyase "," Microbial metabolism in diverse environments","G. oceanica","Low Iron",-2.32812355703468
"K06118"," SQD1, sqdB"," UDP-sulfoquinovose synthase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K00138"," aldB"," aldehyde dehydrogenase "," Microbial metabolism in diverse environments","G. huxleyi","Low Iron",-2.52625804791826
"K00138"," aldB"," aldehyde dehydrogenase "," Pyruvate metabolism","G. huxleyi","Low Iron",-2.06558406751194
"K00138"," aldB"," aldehyde dehydrogenase "," Microbial metabolism in diverse environments","G. oceanica","Low Iron",-2.32812355703468
"K00138"," aldB"," aldehyde dehydrogenase "," Pyruvate metabolism","G. oceanica","Low Iron",-2.15746007047501
"K12304"," CANT1"," soluble calcium-activated nucleotidase 1 "," Pyrimidine metabolism","G. oceanica","High Iron",2.13579560105754
"K03783"," punA, PNP"," purine-nucleoside phosphorylase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K03783"," punA, PNP"," purine-nucleoside phosphorylase "," Biosynthesis of secondary metabolites","C. closterium UGA8","Low Iron",-1.88689451946648
"K09458"," fabF, OXSM, CEM1"," 3-oxoacyl-[acyl-carrier-protein] synthase II "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K00232"," E1.3.3.6, ACOX1, ACOX3"," acyl-CoA oxidase "," Carbon metabolism","G. huxleyi","Low Iron",-2.22010137968385
"K00232"," E1.3.3.6, ACOX1, ACOX3"," acyl-CoA oxidase "," alpha-Linolenic acid metabolism","G. oceanica","Low Iron",-1.96861170392308
"K01845"," hemL"," glutamate-1-semialdehyde 2,1-aminomutase "," Metabolic pathways","C. closterium UGA8","Low Iron",-2.12899726197486
"K01845"," hemL"," glutamate-1-semialdehyde 2,1-aminomutase "," Porphyrin and chlorophyll metabolism","C. closterium UGA8","Low Iron",-2.11480753190049
