"orfs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NODE_10000_length_2060_cov_11.205335_g5364_i0.p1",17.8155104147486,0.0850624386144762,0.412093660816721,0.620719037467057,0.901939520883554
"NODE_10001_length_2060_cov_5.581278_g5365_i0.p1",15.8341993957847,0.0276989650317606,0.440877150235485,0.867025197507742,0.973309863812821
"NODE_10002_length_2059_cov_37.920947_g5366_i0.p1",85.3799801237727,-1.08858858457273,0.530690290919488,0.00122189542374924,0.0340759917741061
"NODE_10002_length_2059_cov_37.920947_g5366_i0.p2",7.51910546663904,-0.0546065476296428,0.451485297938691,0.742230426790778,NA
"NODE_10003_length_2059_cov_28.617321_g5366_i1.p1",25.2496591767488,-0.303453340193959,0.504328419991176,0.148904808326034,0.556771102208053
"NODE_10004_length_2059_cov_25.532729_g4469_i1.p1",21.1128267339666,0.555927605161535,0.584504085346588,0.0356724991351439,0.283905264066626
"NODE_10004_length_2059_cov_25.532729_g4469_i1.p2",4.79814540766032,0.119398215199736,0.654986473890889,0.376306179272516,NA
"NODE_10005_length_2059_cov_23.583082_g5367_i0.p1",9.35630315954155,0.117524616146478,0.420599264067973,0.503644694882607,0.852263500550082
"NODE_10006_length_2059_cov_22.702920_g5368_i0.p1",44.4170448050337,-0.0218282999671929,0.31420859538815,0.890037726203558,0.978092518343824
"NODE_10007_length_2059_cov_12.757301_g2273_i1.p1",26.6676702237842,-1.45392036034395,1.05017586612874,0.00143768810049719,0.0383861628734471
"NODE_10008_length_2059_cov_7.651057_g3731_i1.p1",23.5195383108536,-0.7431159897232,0.677605208655865,0.0150442585663014,0.17314579948723
"NODE_10009_length_2059_cov_5.150050_g5369_i0.p1",14.4403065317661,0.185565326427893,0.409251949536077,0.315345936647396,0.736073905366062
"NODE_1000_length_5046_cov_238.884376_g461_i1.p1",104.197249726059,0.0945764131642415,0.266945228181731,0.509324851975901,0.854920413494222
"NODE_1000_length_5046_cov_238.884376_g461_i1.p2",712.785749050936,-0.5254393457563,0.339599592445989,0.0158234996362285,0.177590527167314
"NODE_10010_length_2058_cov_58.211083_g5370_i0.p1",128.663146390121,-0.388218238785249,0.424182540075207,0.073911880635444,0.415194433207228
"NODE_10011_length_2058_cov_52.328967_g4722_i3.p3",9.73924289056636,-0.246719802617738,0.495099089301742,0.212743220871656,0.643742549816824
"NODE_10011_length_2058_cov_52.328967_g4722_i3.p1",56.2220533939722,-0.00969504808792087,0.27216125209401,0.946860138741638,0.989309666112447
"NODE_10012_length_2058_cov_47.086650_g5371_i0.p1",156.96112949344,-0.0945539285537743,0.34724823922545,0.571843816488873,0.883375299251841
"NODE_10013_length_2058_cov_26.045844_g5372_i0.p1",67.3553215956885,-1.22442334713519,0.561339204340387,0.000652552017789899,0.021585733851629
"NODE_10016_length_2058_cov_19.517884_g5374_i0.p1",36.3432816840499,0.955889566314739,0.59730493591434,0.00399334274788017,0.077589411959066
"NODE_10017_length_2058_cov_14.993451_g5375_i0.p2",7.3043488953429,-0.164058071493845,0.463054598610817,0.367416109189625,NA
"NODE_10017_length_2058_cov_14.993451_g5375_i0.p1",39.9586040597877,0.265162786971563,0.395817240049526,0.171319636240176,0.590687143570396
"NODE_10018_length_2058_cov_7.624685_g5376_i0.p1",20.8051972777599,0.167155792541201,0.418083332698031,0.360400643487593,0.770648646616905
"NODE_10019_length_2057_cov_127.531250_g3548_i3.p3",3.14080031373826,-0.0332181563282847,0.473643782325353,0.836133383756117,NA
"NODE_10019_length_2057_cov_127.531250_g3548_i3.p1",145.267447967501,-0.514575175907702,0.408976175963984,0.0277214957997864,0.247902699077703
"NODE_10019_length_2057_cov_127.531250_g3548_i3.p2",9.48843308315563,0.10905259352243,0.402052352336717,0.531718926855779,0.864620112230464
