"orfs","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_16754_length_1626_cov_797.561494_g8696_i0.p1",500.025135004659,-4.13025505086944,0.301744649462015,-13.6879147923032,1.19900929147898e-42,2.45916805682338e-38
"NODE_393_length_5129_cov_144.874011_g180_i1.p1",368.346335083818,-3.32215093499081,0.253683803553262,-13.0956367275268,3.48737438719608e-39,3.57630243406958e-35
"NODE_7225_length_2376_cov_602.017803_g3184_i1.p1",672.829947560122,-4.08809738333436,0.31805270067639,-12.8535219938091,8.21816276452957e-38,5.61848394335005e-34
"NODE_12579_length_1883_cov_200.437017_g6410_i0.p3",131.333430061337,-4.86211547979782,0.404998874442638,-12.0052567713653,3.33427440375778e-33,1.7096492005268e-29
"NODE_14344_length_1765_cov_2720.447400_g7354_i0.p1",2164.21988091277,-2.68476301750908,0.23160147269183,-11.5921672962824,4.51559753468873e-31,1.85229810872932e-27
"NODE_16141_length_1660_cov_239.354127_g8347_i0.p2",180.875907818306,-2.69011852479573,0.255660671424649,-10.5222227173435,6.82443473466715e-26,2.33281927346705e-22
"NODE_4414_length_2801_cov_830.417155_g2168_i0.p1",734.123855923047,-4.99345053266089,0.475573439964858,-10.4998515750372,8.65160522361743e-26,2.53492033051991e-22
"NODE_2929_length_3157_cov_1043.861219_g1441_i0.p2",1582.28635311854,-1.7272146323389,0.170378825776323,-10.1374958095228,3.7663061706439e-24,9.65586744498831e-21
"NODE_11173_length_1990_cov_124.940532_g1783_i1.p1",125.773403806058,-4.09098299814965,0.404820383215042,-10.1056744367946,5.21355931984195e-24,1.18811224055509e-20
"NODE_46997_length_428_cov_3222.963380_g30277_i0.p1",396.299779146989,-2.81264274512068,0.279177115497833,-10.0747611067803,7.14341744942603e-24,1.46511491887728e-20
"NODE_6447_length_2475_cov_207.074938_g2531_i1.p1",191.152397885699,-4.44854189710859,0.442157769213724,-10.0609832210328,8.21735211302423e-24,1.53216265307388e-20
"NODE_4104_length_2864_cov_91.995700_g2009_i0.p1",139.835121511575,-4.92627435303655,0.496413929080119,-9.92372305540498,3.28277595153188e-23,5.61081123049324e-20
"NODE_21253_length_1402_cov_189.911964_g8504_i1.p2",109.18445089291,-3.61848062929998,0.37000637232524,-9.7795089488872,1.37877849211205e-22,2.17528822101678e-19
