"ko_id","symbol","name","Description","organism","treatment","NES"
"K10203"," ELOVL6"," elongation of very long chain fatty acids protein 6 "," Biosynthesis of secondary metabolites","C. closterium 8","Iron Amendment",2.1456026975217
"K10203"," ELOVL6"," elongation of very long chain fatty acids protein 6 "," Fatty acid metabolism","C. closterium 8","Iron Amendment",2.29790592204091
"K10203"," ELOVL6"," elongation of very long chain fatty acids protein 6 "," Fatty acid elongation","C. closterium 8","Iron Amendment",1.95518336130659
"K00284"," GLU, gltS"," glutamate synthase (ferredoxin) "," Microbial metabolism in diverse environments","G. oceanica","Iron Amendment",1.63296803239694
"K00816"," CCBL"," kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase "," Tryptophan metabolism","C. closterium 8","Iron Amendment",1.77370897263595
"K00121"," frmA, ADH5, adhC"," S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase "," Microbial metabolism in diverse environments","C. closterium 8","Iron Amendment",2.03007665628999
"K00121"," frmA, ADH5, adhC"," S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase "," Carbon metabolism","C. closterium 8","Iron Amendment",2.0516363475101
"K09838"," ZEP, ABA1"," zeaxanthin epoxidase "," Biosynthesis of secondary metabolites","C. closterium 8","Iron Amendment",2.1456026975217
"K09838"," ZEP, ABA1"," zeaxanthin epoxidase "," Carotenoid biosynthesis","C. closterium 8","Iron Amendment",1.78322881368123
"K05349"," bglX"," beta-glucosidase "," Biosynthesis of secondary metabolites","G. oceanica","Iron Amendment",1.46866839195543
"K03885"," ndh"," NADH:quinone reductase (non-electrogenic) "," Oxidative phosphorylation","C. closterium 8","Iron Amendment",1.62668324998714
"K07509"," HADHB"," acetyl-CoA acyltransferase "," Biosynthesis of secondary metabolites","C. closterium 8","Iron Amendment",2.1456026975217
"K07509"," HADHB"," acetyl-CoA acyltransferase "," Fatty acid metabolism","C. closterium 8","Iron Amendment",2.29790592204091
