"orfs","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NODE_10000_length_2060_cov_11.205335_g5364_i0.p1",17.8153155878433,0.085112106083401,0.412300583621569,0.620825380599026,0.902082789958959
"NODE_10001_length_2060_cov_5.581278_g5365_i0.p1",15.8340061690092,0.0276987015937962,0.441105079655334,0.867140223385265,0.972728417370024
"NODE_10002_length_2059_cov_37.920947_g5366_i0.p1",85.3819554136809,-1.0890360970741,0.530469220852476,0.00121893168748251,0.0340886052810881
"NODE_10002_length_2059_cov_37.920947_g5366_i0.p2",7.5189027336863,-0.0546415540076694,0.451740015242178,0.742276024445529,NA
"NODE_10003_length_2059_cov_28.617321_g5366_i1.p1",25.2495821529837,-0.303670028826169,0.504471250178442,0.148923602493478,0.556763200503176
"NODE_10004_length_2059_cov_25.532729_g4469_i1.p1",21.3930230941489,0.560686633377444,0.571380136725031,0.0342165819076729,0.278079683925196
"NODE_10004_length_2059_cov_25.532729_g4469_i1.p2",4.79824128994312,0.119357539130971,0.655060332465578,0.376502682418925,NA
"NODE_10005_length_2059_cov_23.583082_g5367_i0.p1",9.35621724955633,0.117585846715677,0.420822726183531,0.503789363513954,0.85231969728647
"NODE_10006_length_2059_cov_22.702920_g5368_i0.p1",44.4168147098373,-0.0218703530224144,0.314331912702863,0.889918638315911,0.97794484216663
"NODE_10007_length_2059_cov_12.757301_g2273_i1.p1",26.6680155515882,-1.45336940036092,1.04966803547084,0.0014381820557314,0.0385065135372897
"NODE_10008_length_2059_cov_7.651057_g3731_i1.p1",23.519931017611,-0.74329675365177,0.677514513785904,0.015052538984152,0.172978862808176
"NODE_10009_length_2059_cov_5.150050_g5369_i0.p1",14.4401951084274,0.185630825385692,0.409418813855422,0.315554120230003,0.735771283879096
"NODE_1000_length_5046_cov_238.884376_g461_i1.p1",104.033396990331,0.0960826907896415,0.268139691931092,0.504261471154363,0.85231969728647
"NODE_1000_length_5046_cov_238.884376_g461_i1.p2",712.788407066522,-0.526159121474703,0.339372171965276,0.0157237962473632,0.176911337873176
"NODE_10010_length_2058_cov_58.211083_g5370_i0.p1",128.663448432645,-0.388716765628235,0.42426992089422,0.0737772370543471,0.414931415346981
"NODE_10011_length_2058_cov_52.328967_g4722_i3.p3",9.73889173173943,-0.246761323753026,0.495218587297432,0.212958748799788,0.643666236646807
"NODE_10011_length_2058_cov_52.328967_g4722_i3.p1",56.2222040389668,-0.00974673683727164,0.272252563344941,0.946617414644383,0.989721630017595
"NODE_10012_length_2058_cov_47.086650_g5371_i0.p1",156.838285727563,-0.0955794140167037,0.347764209453291,0.568304476838532,0.88241924019916
"NODE_10013_length_2058_cov_26.045844_g5372_i0.p1",67.3562968940811,-1.22470987918592,0.561077171633305,0.000651338501326136,0.0216430768574405
"NODE_10016_length_2058_cov_19.517884_g5374_i0.p1",36.3429780367583,0.955978376348981,0.597166100042658,0.00399678255064991,0.0778283799435655
"NODE_10017_length_2058_cov_14.993451_g5375_i0.p2",7.3043190473433,-0.164145561551339,0.463274220729729,0.367538415599356,NA
"NODE_10017_length_2058_cov_14.993451_g5375_i0.p1",39.9585963794904,0.265319300932306,0.395924203141993,0.171367730921059,0.591087929066641
"NODE_10018_length_2058_cov_7.624685_g5376_i0.p1",20.8051807801856,0.167245255048864,0.418255711601846,0.360539810011111,0.770098328571168
"NODE_10019_length_2057_cov_127.531250_g3548_i3.p1",145.269190367612,-0.514873383742507,0.408964240278957,0.0277039576674164,0.248081625952229
"NODE_10019_length_2057_cov_127.531250_g3548_i3.p2",9.48867119412236,0.109154197299909,0.402303213894186,0.531712242442795,0.864754284318134
"NODE_1001_length_5046_cov_20.658757_g388_i1.p1",123.767686622303,0.139013279638619,0.374880974997856,0.427970776242387,0.812785847211526
"NODE_10020_length_2057_cov_99.631048_g5320_i1.p3",7.60583352749921,0.0386197783813497,0.50153904792536,0.803169974277773,NA
"NODE_10020_length_2057_cov_99.631048_g5320_i1.p1",32.6967154725224,-0.197699195401565,0.410897716882198,0.289944710401534,0.717121127225853
"NODE_10021_length_2057_cov_68.366935_g4770_i1.p1",50.5963396996039,-0.0120442634627577,0.305481698507255,0.938356659126325,0.987242878613998
"NODE_10021_length_2057_cov_68.366935_g4770_i1.p3",3.85331700293099,-0.0217908002418916,0.474486918644266,0.891625569646074,NA
"NODE_10022_length_2057_cov_36.547883_g5009_i1.p1",131.678694749156,-0.037367191626613,0.304474877444335,0.810363577456166,0.95924938512724
"NODE_10023_length_2057_cov_28.384073_g5377_i0.p1",63.6091752900636,0.291500687496127,0.3874344668013,0.136356839437634,0.537509154251643
"NODE_10024_length_2057_cov_28.051411_g4701_i1.p1",70.1812852196574,-0.345659044899771,0.434276690796728,0.103629475769627,0.479791709314517
"NODE_10025_length_2057_cov_24.870464_g5378_i0.p1",18.6671238748314,-0.0498004617621884,0.477811255214593,0.757634357982824,0.945151847530859
