"","ko_id","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K03839",3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,11.6048203502169,11.4397638950114,11.4168154853267
"K01679",6.55442634149844,6.30449961294546,6.46315036897825,6.59532147500644,6.70050146307846,6.84883666437119,12.9523789909148,12.8130019801209,12.7536321133129
"K00525",6.36584984690959,7.06754629272834,5.72241312259111,10.5660785641273,10.496917857969,10.3265511798296,10.8348655187859,10.9160854981054,10.6647443997393
"isip_2a",9.51469939913567,9.40175230378557,9.01323320996492,9.31026633158954,9.58685912796073,9.37296742619888,13.0458340464905,13.055293281086,12.5980220421308
"K07636",5.28768852084279,5.5874848605247,10.0653827642892,4.55704942344488,4.87310372099122,5.47591133621941,4.7806325506996,4.70971143979871,4.44635669290082
"K16752",3.3242427715984,3.3242427715984,3.3242427715984,4.16469162890316,3.99271062842623,4.15476575308683,6.69522275154604,6.83688577218922,7.49033412152531
"isip_3",3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,6.75400549873623,6.70407292832741,6.38549676681326
"K02639",10.0850732812932,10.0152218632455,9.1069455492547,10.13744121981,10.1513444988604,9.87307366550237,6.78813976162694,6.87105038554987,6.47549890451885
"K00789",9.00332295913344,9.10787048864525,9.01323320996492,9.7122538110032,9.90612028919453,9.73161248294972,6.48879318486941,6.15356932778219,6.22826057178109
"K02320",5.88903076137137,6.14455808008041,5.72241312259111,8.78692581231104,8.680613913705,8.62191485611389,9.36365782684364,9.53922097538793,9.27566931259396
"K03743",3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,3.66719558732961,6.37300052917515,6.55750246038432,6.56008647614122
"K17576",7.79389136829444,7.29509731499541,3.3242427715984,7.47865193265744,6.8842316742489,6.39640419749873,7.6726821009656,7.900487527538,8.56882424998298
"K08906",8.65006856063811,8.44297044407121,7.67544158196234,7.96130408102393,8.15036580897704,7.97528045500132,4.97052567648395,5.39644990133891,5.394704784104
"K10895",4.00524213135329,4.13631746077298,6.46315036897825,7.09403121008232,6.89496249905008,6.90508268851141,7.67872344829692,7.75645999910761,7.74780480448635
"K04615",4.15455128690748,3.90220448056857,3.3242427715984,4.43324711567612,4.34753171072266,4.15476575308683,6.91702011906844,6.84836547567981,6.50994588169258
"K17785",5.09360591977132,5.23792291183875,9.0763799675459,4.64071943128945,4.92090222745264,5.01248781657806,5.01350401626013,5.18193065954307,4.60989129688241
"K00034",3.80799564389737,3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,3.3242427715984,6.07095236735795,6.03631039383473,6.30908925806578
"K10808",6.53666612874852,6.67431528054363,7.19432305481229,9.75699297735915,9.82556475127524,9.54430481034178,9.31804064706973,9.42210129532961,9.03107527799147
"K01782",4.48332380138496,4.79862774081995,3.3242427715984,3.60791347632932,3.3242427715984,3.3242427715984,6.05207742886781,6.50019117250968,6.32858582056263
"K15576",4.48332380138496,4.22928983178755,4.80762406048475,3.8888878006509,3.8438667977789,3.66719558732961,7.04460940077319,5.97371545262047,6.94576819985233
"K01783",7.1154709515258,6.85921386079493,6.25733923245012,6.78682865115046,6.91618431136669,7.03668025001773,9.4578066959808,9.51975597290168,9.34799175260075
"K11294",10.7371557375336,10.7725283661161,12.4545057107042,10.0305676789147,10.2531976630558,10.4774699040737,8.55437706611366,8.51198235778511,8.51954700126403
"K03038",7.76396177459202,7.96192517819495,11.2968861356425,7.58494305474765,7.64004874806438,7.7456314675028,7.34034601387681,7.08967250178948,7.07712193440633
"K00854",6.42512643721457,6.22682497507239,6.01576111355785,6.10194923484668,6.06900905210767,6.30454682638082,8.47342109184168,8.55436510701632,9.09412110639168
"K02685",5.60473693184445,5.75528593384144,4.80762406048475,7.87305636343004,7.86306601577405,7.7263474842208,7.95733439483025,7.94899656958924,7.90974710931182
"K04612",4.79646444805843,4.69705718471015,3.3242427715984,4.96299297906216,4.77100108563031,4.57129099560329,7.01616337773768,6.94771386890073,6.65532011493731
"K01489",7.06710571500022,7.25702998539861,3.3242427715984,7.15854393426376,6.57225907550324,6.14843651939109,6.84326707712911,6.69135855960064,7.48176252567195
"K06683",6.93848947685132,6.87946452718172,3.3242427715984,7.04365809280563,6.8842316742489,6.86310814941133,7.08167584586671,7.16486949818328,7.29859269010341
"K20306",7.91456521428812,8.07098279839676,11.3034971397359,7.69749632136759,7.77623587885997,7.84551510003504,7.49229136195531,7.24498936585261,7.3653993556577
"K00362",4.98362629595967,4.58478278113559,5.72241312259111,4.3995978629395,4.46268026499597,4.0841020512048,7.04460940077319,6.42510591804017,7.30832952014712
"K07375",8.98076910334985,9.27277527233269,8.94719322190251,11.6556096550197,11.565104935284,11.3764646293631,11.4517782131083,11.50734816945,11.3862367202892
"K03797",6.68899674935634,6.52753869687487,5.72241312259111,6.2742117573417,6.56553092581401,6.46390717674721,8.83107634750812,8.82920326064466,8.47284583184405
"K06695",5.0398781586389,5.13313064265057,3.3242427715984,6.52935085156974,6.56553092581401,6.77524579506088,6.85404037641211,6.67852897962154,6.47549890451885
"K02327",6.78214099223367,7.27999170809514,7.07512191097848,9.1848730492978,9.22665172547508,8.94533376690165,9.66176880169406,9.60114784935655,9.57588328233609
"K06628",5.80076513589024,6.28930680608116,5.34612319466355,8.0165415396873,8.15036580897704,8.020283377025,8.2198836212465,8.31649366540426,8.03787393897865
"K18615",4.5709792920049,4.58478278113559,4.80762406048475,4.06772012997558,4.26150855054021,4.21932358860197,6.97733017596433,6.84836547567981,6.30908925806578
"K04799",6.17126103908249,6.62706418652709,8.15711289403481,9.13986659706827,9.06500089865061,9.07425411240823,9.1546336784638,9.14093588463284,8.93415106012264
"K14564",8.5788971549002,8.84445326471035,11.0440543872815,8.37873044178554,8.66979132982607,8.71080406211331,7.25381740602768,7.31262394209315,7.3653993556577
"K07607",4.7264609982884,5.39522548967623,3.3242427715984,6.74528229570074,6.84047965664188,6.25077998246292,6.65874516503592,6.47063645626425,6.09746377669693
"K14291",4.79646444805843,4.84611167874814,4.80762406048475,7.15459615117089,7.1263363689562,6.8912283720111,7.21268674127722,7.15568356929299,7.13305045089473
"K02541",8.12333752910629,8.46310654930782,6.80187996651942,9.54449156187803,9.57944655511244,9.58333528127279,10.1620275570517,10.232027474713,10.057776487452
"K14286",6.07518819680517,6.30449961294546,7.50186511556258,8.48117687294243,8.581803988984,8.77217181654453,8.94301847331466,9.0049818894066,8.84697551910245
"K01938",6.42512643721457,6.61500047941181,3.3242427715984,6.76620757777956,6.84602288151244,6.72136276587938,6.79933778060308,6.87105038554987,6.88180740390753
"K13806",5.37453050621997,5.09611996401737,8.80527878665789,5.35359478239972,5.41395844367116,5.39582135894864,5.40730067588451,5.63620597632242,5.87459526181758
"K07466",7.51707577575376,7.51734334120835,6.94504651453381,9.51184597380518,9.54856593102029,9.55960909176524,9.6769047896121,9.66697381055581,9.51436163481682
"K10580",4.65160600827139,5.30319961753641,8.60564891960646,5.49174427810813,5.34965688265103,5.28814169661114,5.37617821874344,5.46063520139358,5.57465723832014
