"","ko_id","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"1","K03839",5.15822727909221,5.47539448153096,4.82336278557558,5.38558566340678,5.14718368478721,5.34451339078755,12.6603111526383,11.9933036889734,12.9190138368054
"2","K01679",7.89131569136517,7.86402299853251,8.28987517767665,8.4727206709208,8.21628538472144,8.1920722501365,14.2497689218739,13.5709031805577,14.7931084022965
"3","isip_1a",4.05381843369368,4.05381843369368,4.44199639781357,4.05381843369368,4.05381843369368,4.05381843369368,8.953320645915,8.41566777797951,9.73239655925215
"4","isip_3",5.4321382909094,5.00523326054779,6.23898274300048,4.78342357334096,4.97491873383647,4.89518336580743,9.79708804373051,9.65741425008686,9.76710049585076
"5","K03458",6.56486524618156,6.3395219743254,9.06583932048153,6.88918130356868,7.12187843320624,6.90704168171019,9.36198224306644,9.40487891206994,10.8823803503052
"6","K09973",9.9216350900256,10.9256562981024,7.26296805723957,7.27294542176128,7.02392305148955,6.23642413757928,9.58378483159147,9.57868009868502,8.71081317949324
"7","K19347",7.73312876713556,7.96883828764327,4.44199639781357,4.66616879964402,4.55209205568007,4.68481814876651,6.25975492897635,6.25679893697529,4.84907879642207
"8","K22418",11.698320740476,12.5854980051057,9.546389105596,9.30375359529417,9.00531721376291,8.48053794921755,11.4241079700591,11.047698304387,10.4874469437741
"9","isip_2a",10.9612939533387,10.9440537170025,11.4933581953177,11.1544175096126,11.0674438810612,11.041718418049,13.6295763143667,13.7302130774975,14.1811221208488
"10","K01251",10.545071373091,10.5586763880452,8.76616165590088,8.21836259430276,8.32409921458046,8.21111605282025,7.81202324758377,8.16737852805777,6.25125703225788
"11","K20892",11.0390144642359,11.650375734232,8.18551672018908,9.20743386234816,9.30387801989186,7.57432789293045,10.5459427365184,10.5055830418497,9.80656000265977
"12","K10420",8.87944331455684,9.76132823939874,6.72248332619053,6.62913827804921,6.42684858137061,5.91349124660479,8.6536608669885,8.3508958943029,8.13268873966906
"13","K03927",10.549012764549,10.559869861054,8.76214200718194,8.24757944800567,8.34650215291047,8.24230415992506,7.84204975891914,8.17238972632742,6.31813638280491
"14","K15633",8.01667493297903,8.10638787906133,4.72219890443141,5.07520191405988,5.53176504110908,5.28792820282352,6.58737279045008,6.35198423953915,4.70583484181088
"15","K05039",9.0082574229239,9.869262591273,6.95577415749227,6.83983319182007,6.65108713355073,6.22337561304222,8.79416947041551,8.48570849996709,8.2845395221745
"16","K02372",7.39653221326361,6.99037983071838,4.60115404376337,4.45640434442802,4.05381843369368,4.45479440568851,5.17658894965247,5.24424777517753,4.05381843369368
"17","K01535",7.09205003965565,7.0742520343855,7.76167415108374,6.85647868969734,7.28074111358114,7.0282103043715,9.3516319107363,9.18015977642737,10.0110002827857
"18","K00006",10.706401213453,10.7806693480049,8.35010285805212,8.00261370405821,7.85870013569794,7.87506694354949,9.79518031156194,9.87529963499022,8.72855181148065
"19","K04373",9.62004596847584,10.5187273089708,7.31930959060114,8.16684819121117,8.11545544859115,7.0640140305141,9.53202468340579,9.321851529484,8.80855694826552
"20","K02716",9.19101110619401,9.05509490673687,11.5717013780276,10.1984349710315,10.0893528802857,10.0278818192495,7.94934082097582,8.45728064370732,10.7742553069448
"21","K02115",8.45619750555404,8.36926545778714,6.59841427957578,5.66621443973178,5.53176504110908,5.75290413443025,6.67534071804253,6.78765000674353,5.59082582573514
"22","K00888",9.37554427392297,10.0802834174358,6.94138559342316,7.75136683674758,8.08376879652118,6.69356640648422,9.12424594535785,8.88665118963088,7.84810188276254
"23","K03932",9.56659331742024,10.3496143619389,7.10496461752199,8.41507019110042,8.18677419356552,6.96135450662002,9.40516009149867,9.14753248221631,8.56701848593221
"24","K16732",8.85733766685139,8.58668284632039,5.54407350060924,6.04248048305994,6.79130681840941,6.45161324937518,6.45377470853004,6.38822292871667,7.18169203587693
"25","K15371",9.107889334582,9.74672597931702,7.37348867403153,7.14441159174365,7.64320825635125,6.7915860591569,9.43977182124758,9.11414887066096,8.4788912697756
"26","K02493",8.41783155497914,9.13740535754852,6.59841427957578,6.03229882301355,6.4093086959903,6.09964149207895,7.90027239321008,7.60221497716585,7.47825239983908
"27","K01218",7.85977466821079,8.53411858658091,5.54407350060924,6.28234289218413,6.19931618761312,5.39814850380926,7.64308969437531,7.35876986143069,6.93543775392522
"28","K01219",7.85977466821079,8.53411858658091,5.54407350060924,6.28234289218413,6.19931618761312,5.39814850380926,7.64308969437531,7.35876986143069,6.93543775392522
"29","K20995",5.25812340995343,5.32408002776979,5.54407350060924,5.50330945119702,8.08909883219452,7.64165060362471,7.21806714147698,6.81403677229155,6.44255266351733
"30","K11854",6.13244994860486,6.99037983071838,6.42018473698014,5.67993684864518,5.99810804774883,6.05560689179765,4.05381843369368,6.8399288589737,4.05381843369368
"31","K01206",7.89754117732889,8.53411858658091,5.54407350060924,6.28234289218413,6.4093086959903,5.39814850380926,7.64308969437531,7.35876986143069,6.93543775392522
"32","K06628",9.70200387587617,9.7839799362642,9.34094499642346,9.22009460016358,9.29470821746666,9.33998387487507,7.03347837158104,7.05349249877964,8.49971336856484
"33","K02206",9.37776313103702,9.40262724828956,8.37139194002268,8.08361411877901,8.31048762585577,8.36068761577509,6.51265584207433,6.47473901115275,7.56031583428896
"34","K17307",7.03611337203276,7.6095688405053,4.44199639781357,6.55560872178185,6.62123444821732,5.44918767244507,7.48993120078354,7.45295650352919,6.06732121999335
"35","K00362",5.94065854145344,6.11201281489984,6.08448281236568,4.05381843369368,4.66258762070074,4.05381843369368,7.25224291339224,5.49307516769581,5.24951996160804
"36","K00789",11.7133243657202,11.7053321647623,10.9770373765373,10.670844460032,10.490490751132,10.6291792610811,9.47595590153699,9.73713674416209,8.50658753792398
"37","K19356",6.98969380762233,4.05381843369368,4.05381843369368,5.72016533786238,4.05381843369368,4.54413077612949,4.05381843369368,5.49307516769581,4.96838539653166
"38","K01052",8.40044536040151,9.06858485722529,6.28666375129834,7.07072562101041,6.84362585080636,6.47351250007577,8.55323803843408,8.41988374873815,8.05026888357815
"39","K14452",8.40044536040151,9.06858485722529,6.28666375129834,7.07072562101041,6.84362585080636,6.47351250007577,8.55323803843408,8.41988374873815,8.05026888357815
"40","K02639",10.6966633187558,10.6466778529236,10.5428807372617,9.62176355182396,9.57587021907644,9.59864028043791,7.9215083230862,8.66681825842111,8.37751880651947
"41","K01610",9.56659331742024,9.52015340014491,10.7271406909439,10.0468706469012,10.022912701548,9.76423124728247,11.5356831210857,11.5465380355472,12.2711914272842
"42","K12308",7.95834844496845,8.58198293228926,5.8105200560241,6.40305704135899,6.37352244810087,5.65342092217387,7.70982795794978,7.42788444024782,7.16421258248971
"43","K00138",6.01602161633673,5.72712294393392,5.77595067685148,4.45640434442802,4.05381843369368,4.05381843369368,6.7739432578295,6.17534946345368,5.98566721363228
"44","K21396",8.59253763122764,9.3034599520626,6.75596162499876,7.11264957277896,6.76438415083476,6.45161324937518,8.30182437579697,8.17238972632742,7.1104292085712
"45","K21421",6.1545194433813,6.24325433799074,5.58610583539364,5.36765266379804,5.81588411391995,5.82690477813505,7.75000532145519,7.77740299078948,7.65042447383229
"46","K08803",6.58083537994129,6.77244526464733,6.86711920678004,5.63827377549515,4.05381843369368,5.77183565178024,7.05954104832605,6.99737902646568,6.80521610591432
"47","K08914",9.96358726440596,10.8368840256218,7.85557945974132,9.00890904099325,8.67492074279058,8.34927923180477,10.0531860232056,9.68564664393568,8.41455018157613
"48","K09257",7.25738560306808,7.75090071220567,5.45491839755128,5.84522061778649,5.72861141647019,5.22794928508866,7.54589201461568,7.21929176786221,6.75893313472997
"49","K07090",6.95383609093889,7.0742520343855,5.77595067685148,6.19525543987826,6.31797076275804,5.94649375042138,8.06828997448558,8.18235986158823,8.13268873966906
"50","K01783",7.93433505437834,7.96883828764327,9.17562913533915,8.19068898613073,7.61382669447891,8.11326089174176,9.82913911783188,9.17767605826621,10.3757249207646
"51","K17943",10.5820867398617,11.1522213770468,8.45850577307522,9.35917091210979,9.32204436945544,8.44347761138159,10.5138291780971,10.3664870246539,9.82863267807103
"52","K04802",12.705756339018,12.5556013734606,12.9959695647129,12.6758086350587,12.7455004861956,12.7412518359496,10.6275250715475,10.4986395278269,12.5156276300209
"53","K07374",13.8396305513894,13.9434351181568,12.7043440265626,12.370533880311,12.8154481370964,12.7312869470308,11.2407836699476,11.2502414298033,12.2099920057866
"54","K08139",9.05616583709576,9.82427458192515,6.99806879569732,7.72481876290393,7.59138518258635,6.89910646734169,8.53960652485788,8.32414595947179,7.83720209767302
"55","K08906",7.86613884148603,7.93966712049309,9.10443182229243,8.55674400549804,8.24042234251632,8.43541014696019,6.32762863884458,6.76074843917096,6.84999746018056
"56","K07375",13.4615351539601,13.5383669815523,11.8806917371991,11.7811465950035,12.1558118374345,12.1514037187078,10.9455901495619,10.922849433922,11.5829636847575
"57","K10249",7.74008225898724,7.85623353187746,5.407439129424,6.18621868989612,5.94871636995132,5.34451339078755,6.56907609052194,6.19619361020363,5.59082582573514
"58","K17576",8.18371601520659,8.89771067680907,6.35510109243944,7.20585802722815,7.35392355377457,6.44052823062626,8.60650680188407,8.45728064370732,7.5996350993702
"59","K10808",10.8947159704736,10.9013834057403,10.1530133261597,10.5127149985135,10.5291015781795,10.6244663168368,8.47422480651124,8.62728353689542,9.80377700483272
"60","K17885",7.85338200507737,8.18299170852324,8.13657940151607,7.19724273495971,8.8790396239414,8.46212730807875,9.81790815756554,9.45905030200885,9.81210993347682
"61","K11982",8.90737486937565,9.5942733443415,7.43587720455163,7.49246570046946,7.29939550757407,6.73002378182202,8.64095328598551,8.50170391828503,8.15914078507301
"62","K01425",7.03611337203276,8.14520168268342,5.25045255984065,6.42593948024606,6.42684858137061,5.75290413443025,7.49941260814497,7.41942747560925,6.31813638280491
"63","K15112",7.92217537759774,8.13238024083046,5.87683755187871,5.94774676128873,5.89728896903592,5.67400390001536,6.65819487048577,6.76074843917096,6.18078308223361
"64","K11274",9.49686316853247,9.54206756980616,9.75069334172426,9.35630674631784,9.48407911088026,9.41835227015274,7.5181874159616,7.43629119947002,9.52835264591279
"65","K01130",9.35090863165188,9.23034406455563,7.05253803210043,7.27703417852905,8.12586377760966,7.8014261542587,7.2745746504581,7.1388397638774,7.26597223112326
"66","K00114",6.06387448430995,5.93442611812342,6.21447573534325,4.81824183658181,4.66258762070074,4.74396726290169,7.09774662883944,6.27639340662232,6.71103946042186
"67","K14207",7.81441298924291,7.51352829531901,9.65432599205798,9.24198660511777,9.33104236281331,8.97718451738879,7.59089821751788,7.64626768324432,9.25433279269387
"68","K00525",11.449089481724,11.3942108807307,11.3956933601863,11.1797357585485,11.3988951953847,11.4015770286592,9.32542603501544,9.33082000248736,10.9718515878415
"69","K06127",7.53126624566281,7.41051238397959,5.407439129424,5.67993684864518,5.6980390051858,5.67400390001536,6.69227439531728,6.55602543524866,5.07226375189134
"70","K21423",4.55731453982658,4.44808066337775,4.60115404376337,4.45640434442802,4.83596585326987,4.54413077612949,6.56907609052194,5.75579128043035,6.50067544298475
"71","K11491",8.99674933594058,8.98212145054971,7.74540419042304,7.21014596537109,8.22114539097277,7.8014261542587,6.72552677408311,6.58722065106075,7.19895676179342
"72","K06676",8.89192431140036,8.90900559315985,6.21447573534325,6.92638480750858,7.23299571053981,7.15965139609947,7.25224291339224,7.22903216949502,7.69946349385542
"73","K04799",10.2481137803934,10.1922730298942,10.4132108380502,9.99749827684575,10.231820783388,10.2988216298713,8.14843903265883,8.27842379306621,9.72064041283204
"74","K22048",8.5616018758777,9.35114040253407,6.63502713241159,7.48190851026055,7.78823786018923,6.80868167364651,8.47899490277405,8.39440021302656,8.21062370037348
"75","K02997",11.0071382350161,11.1490530883836,11.0455189943282,11.3365873077207,11.1273877904294,11.2813612235578,9.29873465894018,9.5249978275971,9.46985396882618
"76","K14994",7.8405101702525,7.58143214291277,9.68858060725847,9.28780688470003,9.35329452556504,9.02629255779448,7.66848455681112,7.77079384463301,9.2865969415382
"77","K04573",6.71672181814423,6.57318981534439,6.52208917977436,6.26538202713173,8.50621975407784,7.34499876959227,8.07461707553966,7.69599605954878,8.4363190728064
"78","K02719",9.18848487095532,8.94602771360263,10.8437895049272,9.71859451401155,9.86467330016266,9.62484243500813,8.24690968191293,8.12147119574261,9.98912027022394
"79","K10405",9.48250294965777,9.37304372166333,7.22804955982235,7.19291521517768,7.92584838345576,7.74140120956341,7.86416232368959,7.46121622209762,7.4498078646949
"80","K02016",9.20107197195242,8.74218944893286,10.284780750257,10.5432431504669,10.4248001756416,10.4754027005651,8.38044605283468,8.75948523287911,9.92397983380919
"81","K19801",9.59356741400901,10.2287511572682,7.84035141071802,8.24964376333938,8.52597242965695,7.71933618550729,9.43732693630342,9.26683566601275,8.3471901601945
"82","K00940",9.29564973129546,9.08527149393352,9.22023526995498,9.40793267260276,9.21431424686739,9.46920273211689,7.56406593708122,7.61705133171514,7.54696383030201
"83","K01427",6.42981998585616,6.38515130582621,6.18949975526583,5.51913271776421,5.53176504110908,5.69422998999871,7.12265005882507,7.4694280832429,7.858919088127
"84","K02219",9.04223984645555,9.01384973715551,8.82128835067352,8.50588690802462,8.90640212794537,8.69386206779181,7.02026244246162,6.78765000674353,8.33950679450916
"85","K02998",9.30500798796579,9.27756366658542,9.86368210971139,9.75601082374329,9.86622107272622,9.7459002508277,7.62590446100302,8.10058600263079,8.36999650995924
"86","K21769",10.7549816295064,11.193557202351,9.11706952527046,9.28980990330674,9.25270612497257,8.9225033621477,10.6832437356801,10.4986395278269,10.1223969885371
"87","K11550",7.7811057003081,7.88713969379625,6.99806879569732,6.85095240418841,6.84362585080636,7.04264203368005,5.7185773424361,5.29012982334045,6.63590802672878
"88","K13834",7.75388830247836,8.02545415612224,5.5003989050292,6.52082196526323,6.54360603942034,5.69422998999871,6.97984676064592,7.21929176786221,6.58342029490677
"89","K13250",8.45198488713906,8.50957495700356,9.0723436592944,9.79600684187704,9.96919387561709,9.71519046210987,7.64308969437531,7.8791868505721,8.63131208364581
"90","K13751",8.12664719592101,7.74246662902819,6.46187779256385,6.72947871164554,6.39153556844558,6.4843298325845,8.16631507857166,8.481681661057,7.67515510623994
"91","K13753",8.12664719592101,7.75090071220567,6.46187779256385,6.72947871164554,6.4093086959903,6.49506096749467,8.18397088588897,8.481681661057,7.67515510623994
"92","K00108",7.8405101702525,8.42284335214808,6.70543312753,6.59620777748001,6.46125416442969,5.89665479079566,7.97664183171196,7.66779288729314,7.34549567806543
"93","K02714",7.15635260345418,7.25239336656735,8.99228244026853,8.17556352477837,7.73471434264965,7.91051059014327,6.55052932115774,6.38822292871667,8.16785072077999
"94","K02320",9.80450095182338,9.8082916131825,10.0181197746982,9.49035722689981,10.0408401776561,10.0666226874496,8.09343233812231,7.89141442001661,9.40887982837967
