"orfs","ko_id","add_gene","13add_backA","13add_backB","13pFe19A","13pFe19B","13pFe19C","13pFe21_9A","13pFe21_9B","13pFe21_9C"
"NODE_14000_length_1790_cov_57.659872_g7170_i0.p1","ko:K17893","PTOX",6.40585874161312,6.40585874161312,6.87712565039832,6.87480704485364,7.14641962515102,7.01768972819191,6.64337476972751,6.65983661150376
"NODE_16240_length_1655_cov_63.367257_g7170_i1.p1","ko:K17893","PTOX",7.72833571695509,7.79405558088589,7.66726320362492,7.54980552783491,7.31838744425097,7.37540000682756,7.36868514251086,7.48941399352499
"NODE_18734_length_1522_cov_64.064872_g8003_i1.p2","ko:K17893","PTOX",7.85472025082768,7.48942163508942,7.5080535246284,7.57447578192666,7.62668441594447,7.77031428607924,7.66838192979629,7.46211738211126
"NODE_15596_length_1691_cov_123.309642_g7390_i1.p1","ko:K04608,ko:K04612,ko:K04615,ko:K05857,ko:K20305","ISIP",6.40585874161312,6.40585874161312,6.40585874161312,6.40585874161312,6.40585874161312,9.52289408438379,9.44555217722916,9.12234995459758
"NODE_14933_length_1730_cov_18.881110_g7679_i0.p1","ko:K08433,ko:K16911","Rhodopsin",7.17892535894932,7.06340974477463,6.99341822276575,6.95132714319633,6.91341325865763,6.94930258224173,7.0299054948947,7.17996638159779
"NODE_1698_length_3663_cov_38.943175_g96_i7.p3","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin",6.689430235618,6.74604111178805,6.71956915555484,6.71372336055491,6.89341313876307,6.80422649200303,6.88196542906016,6.40585874161312
"NODE_1698_length_3663_cov_38.943175_g96_i7.p7","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin",6.40585874161312,7.03608989446623,7.14572068178093,6.86029862316033,6.87207209798804,6.80258092212016,6.93733968577759,7.03092479810191
"NODE_186_length_5911_cov_236.270983_g96_i0.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin",7.20430402254202,7.12539912093423,7.57939938845586,7.32392036165233,7.22012771139692,7.36476360941428,7.29592066881225,7.37056291113978
"NODE_21070_length_1411_cov_11.938714_g11103_i0.p1","ko:K08433,ko:K16911","Rhodopsin",6.89776946502792,6.88761435150661,6.77919530319823,6.87478898582677,6.98531466766276,6.83946792523514,6.74169965820204,6.66023257762608
"NODE_25249_length_1232_cov_40.377912_g7707_i8.p5","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin",6.40585874161312,6.74388322588607,6.85526053036009,6.71715234132042,6.60518696528556,6.40585874161312,6.69758893827598,7.00316372132868
"NODE_3596_length_2981_cov_19.900619_g1756_i0.p2","ko:K08387,ko:K14593,ko:K14859","Rhodopsin",6.69093524127032,6.40585874161312,6.76003274204331,6.80268312740115,6.98534145812465,6.40585874161312,6.40585874161312,6.40585874161312
"NODE_3768_length_2941_cov_49.265690_g1841_i0.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin",8.11306953000955,8.0541045825249,8.00734206600472,8.0467042474038,8.10674209068073,7.9492510680448,7.94240986870495,7.85545431978138
"NODE_3961_length_2893_cov_21.811348_g1756_i1.p1","ko:K08387,ko:K14593,ko:K14859","Rhodopsin",7.09870735458808,7.12477800730257,7.38420552881939,7.43698961963269,7.5188126174737,6.8976428310846,7.09267521408851,6.94231114734858
"NODE_876_length_4295_cov_41.111322_g96_i6.p3","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin",7.91459745977455,7.69004052106017,7.65179905319288,7.56228093145439,7.62680111644275,7.41540199011919,7.55143359342275,7.94747149557265
"NODE_9921_length_2093_cov_7.047525_g4986_i0.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin",6.75503599993643,6.85725789113154,6.79701098907287,6.84030551992052,6.85155434143857,6.84066048835434,6.93415002255577,6.91117589385065
