"ko_id","symbol","name"
"K06911"," PIR"," quercetin 2,3-dioxygenase [EC:1.13.11.24]"
"K21797"," SAC1, SACM1L"," phosphatidylinositol 4-phosphatase [EC:3.1.3.-]"
"K18038"," PTPN9, MEG2"," tyrosine-protein phosphatase non-receptor type 9 [EC:3.1.3.48]"
"K03020"," RPAC2, RPC19, POLR1D"," DNA-directed RNA polymerases I and III subunit RPAC2"
"K10203"," ELOVL6"," elongation of very long chain fatty acids protein 6 [EC:2.3.1.199]"
"K15043"," KPNA2_7"," importin subunit alpha-1/8"
"K01354"," ptrB"," oligopeptidase B [EC:3.4.21.83]"
"K10407"," KLC"," kinesin light chain"
"K02088"," CDK3"," cyclin-dependent kinase 3 [EC:2.7.11.22]"
"K02206"," CDK2"," cyclin-dependent kinase 2 [EC:2.7.11.22]"
"K22378"," RNF181"," E3 ubiquitin-protein ligase RNF181 [EC:2.3.2.27]"
"K14404"," CPSF4, YTH1"," cleavage and polyadenylation specificity factor subunit 4"
"K17506"," PPM1L, PP2CE"," protein phosphatase 1L [EC:3.1.3.16]"
"K12486"," SMAP"," stromal membrane-associated protein"
"K03686"," dnaJ"," molecular chaperone DnaJ"
"K14645"," K14645"," serine protease [EC:3.4.21.-]"
"K01255"," CARP, pepA"," leucyl aminopeptidase [EC:3.4.11.1]"
"K02014"," TC.FEV.OM"," iron complex outermembrane recepter protein"
"K17681"," ATAD3A_B"," ATPase family AAA domain-containing protein 3A/B"
"K04457"," PPM1A, PP2CA"," protein phosphatase 1A [EC:3.1.3.16]"
"K04461"," PPM1B, PP2CB"," protein phosphatase 1B [EC:3.1.3.16]"
"K14683"," SLC34A, NPT, nptA"," solute carrier family 34 (sodium-dependent phosphate cotransporter)"
"K02515"," HSL1"," serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase [EC:2.7.11.-]"
"K06668"," GIN4"," serine/threonine-protein kinase GIN4 [EC:2.7.11.-]"
"K18679"," CDR2"," mitosis inducer protein kinase Cdr2 [EC:2.7.11.1]"
"K18680"," CDR1"," mitosis inducer protein kinase Cdr1 [EC:2.7.11.1]"
"K06236"," COL1A"," collagen type I alpha"
"K19069"," CDH"," cellobiose dehydrogenase (acceptor) [EC:1.1.99.18]"
"K09213"," HB"," hunchback"
"K17298"," MUC13"," mucin-13"
"K22493"," ALS"," agglutinin-like protein"
"K03320"," amt, AMT, MEP"," ammonium transporter, Amt family"
