"orfs","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"NODE_29845_length_641_cov_1667.985915_g16178_i3.p1",2.8385128487479,3.68327320539959,11.1881500917867,11.2842255964777,4.54664387337068
"NODE_25202_length_898_cov_1403.180606_g11777_i1.p1",2.8385128487479,4.46390618981777,11.0115221596413,11.0887354554182,4.63843253358294
"NODE_24255_length_958_cov_24141.889266_g12976_i1.p1",8.75273213556447,7.93132044584802,13.5974556043356,13.4429260593628,4.63846762013709
"NODE_25964_length_855_cov_977.031969_g14613_i1.p1",2.8385128487479,4.08442979353252,10.9316740250918,10.7686993787754,5.50874572164804
"NODE_13872_length_1670_cov_486.000626_g7707_i0.p2",3.44222673103768,3.43956514981642,10.739198980735,10.7229371524648,5.0182895215765
"NODE_19574_length_1234_cov_1172.566753_g9714_i1.p1",5.01533095814333,4.31087375564629,11.7729803841495,11.8622113909005,6.2891393028277
"NODE_149_length_7471_cov_305.357259_g25_i2.p1",5.37985982565129,2.8385128487479,10.9509513733884,11.3856527609654,6.43536154327595
"NODE_26482_length_829_cov_660.269841_g16094_i0.p1",3.44010530307569,4.26405053016346,10.3807327051109,10.514524242293,3.72916429562137
"NODE_9560_length_2120_cov_344.909624_g5104_i0.p2",3.44140038126201,4.41712949960747,10.7632750345203,10.8596829320285,4.95103654436834
"NODE_9343_length_2151_cov_190.202117_g4716_i1.p2",3.68646989927392,3.68255070525936,9.93018054565302,9.85259435696112,2.8385128487479
"NODE_26248_length_841_cov_786.505208_g13435_i1.p1",2.8385128487479,3.57341473253847,10.1009053141643,10.0945202369852,5.20386383030344
"NODE_22843_length_1038_cov_409.081865_g13460_i0.p1",2.8385128487479,2.8385128487479,8.94867347574011,9.36508644068089,2.8385128487479
"NODE_26167_length_845_cov_1533.329016_g15850_i0.p1",4.92302369759174,4.88747324620171,11.8415647248599,11.6189148365237,7.10531740360637
"NODE_22090_length_1080_cov_1075.134062_g12977_i0.p1",4.65345803436607,4.94657225472468,11.5453678466926,11.4368979514183,6.29003921834324
"NODE_24765_length_924_cov_719.730905_g14785_i0.p1",4.26475176998871,4.01719512061693,10.4300335498612,10.4846923622436,4.21619311492697
"NODE_23205_length_1019_cov_1018.547569_g12938_i1.p2",4.70599527356725,4.85681172134718,11.0037262586532,11.2330099459606,5.0840790047556
"NODE_25312_length_892_cov_440.273504_g13915_i1.p1",2.8385128487479,3.77947305192663,9.17416433570526,9.43806328565385,2.8385128487479
"NODE_28114_length_734_cov_369.717095_g17435_i0.p1",3.42414451750236,4.59812797977436,10.1374514355479,10.4052471196925,4.45011346290937
"NODE_25245_length_896_cov_388.185905_g15128_i0.p2",2.8385128487479,4.31666252134769,9.8567401514661,9.58371429292488,3.72887096872683
"NODE_21308_length_1125_cov_487.608365_g2279_i2.p1",2.8385128487479,3.86605223975205,9.58901632544648,9.87192623020072,4.21619311492697
"NODE_29834_length_642_cov_1106.506151_g16121_i1.p1",3.66730155204883,4.02034539356834,10.1803546341305,10.1836991171478,4.45010184920118
"NODE_22315_length_1067_cov_204.928571_g13125_i0.p1",2.8385128487479,3.26519370983972,9.37381753455951,9.53507738765684,4.07926816137635
"NODE_23431_length_1006_cov_402.386924_g13460_i1.p1",2.8385128487479,4.08665459240285,9.29191571159934,9.2662866058806,2.8385128487479
