"","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"K02716",5.3813189996722,5.46814362766301,11.8577716971072,11.9137872910423,6.34829835273524
"K08901",5.02588888990416,4.9116754276186,11.0846428761073,11.1799706124404,4.9896702175954
"K03839",3.67844254253069,3.67844254253069,9.57596017321266,9.82048869027395,9.17734131591892
"K10960",4.14209729734576,4.50774719949961,10.2295088215495,10.4566738657699,6.04222431165021
"K02719",4.47482678629452,5.01527542107586,10.44585942099,10.5194795863673,5.5639867583281
"K02636",4.47482678629452,4.3820293047644,9.57801031846166,9.71267494980088,3.67844254253069
"K08910",6.00921134558835,5.81342798766347,10.6871438386858,10.6794878245446,4.67012260157213
"K02714",4.59429187527291,5.37637814286577,10.3019859056662,10.0252981699192,6.12546776017723
"K08906",6.36287084785718,6.79569562716316,10.784435533425,10.867824254522,5.98370674228903
"K02115",6.36287084785718,5.76199950226622,10.6190984555152,10.9133862470048,7.2442410877395
"K03403",7.17508482587727,7.34432526315553,11.4337794144021,11.8728597561881,7.32624822820994
"K01749",3.67844254253069,4.50774719949961,8.60242059510326,8.82766725387991,5.43306453861736
"K08907",6.00921134558835,5.94141757074093,9.72216158829876,9.76190619873048,4.84316232334717
"K03404",4.14209729734576,4.6152407787949,8.66166293671285,9.24123501481238,6.49959107022642
"K01845",4.59429187527291,4.75417449615362,9.03456476103067,9.19979059764837,6.8265550283734
"K02703",12.4830560026852,11.9381791022068,9.84641643648421,8.91223289299291,14.3237188289291
"K13107",9.95486484425654,6.96495482112197,9.74423720083906,8.52262377744848,12.6319050121236
"K01535",6.92632647848545,6.13938827384972,7.41894726772248,6.80089186042183,11.2082016656122
"K01698",3.67844254253069,4.12605534633647,7.83844066980621,7.87498591155234,5.43306453861736
"K19073",3.67844254253069,3.99558467284597,7.17906752456338,7.75959596263951,4.12888631590356
"K03428",4.47482678629452,4.9116754276186,8.10103014281834,8.3626715788962,4.67012260157213
"K03235",7.10634300845331,6.70275690657804,9.29107868547199,9.24327628149803,11.4058018896163
"K02641",7.07788553748935,7.29922364892668,10.5735966962835,10.6574691873669,7.2075945091823
"isip_2a",8.91916579187076,9.38970588809332,11.3269288985141,11.8728597561881,13.4485067911406
"K03526",5.32921623383898,5.16817235202944,8.56566850950845,8.69071138958988,6.90531075790247
"K02014",5.52531969890261,5.16817235202944,5.90098369327637,5.33596750755048,9.18047488009663
"K14572",7.50856297241591,6.49598872905919,7.44628039900527,6.50150812590508,10.550945570121
"K05034",7.69731442992325,8.97791941875947,9.98418489576279,10.097011803727,6.17823710477302
"K03234",8.27230187696278,8.2089364370087,10.1014074463453,9.9904900864413,12.2452165224557
"K15283",5.61273501759994,5.55348298727866,7.9881480586387,8.68771494697509,4.9896702175954
"K00138",4.79126066965824,5.1095646689466,4.96364372347378,4.41665236607476,8.41876024989619
"K02293",4.79126066965824,4.6152407787949,7.80371931918425,8.03469947339292,6.22902838597204
"K02932",6.77443883429848,6.40164525029659,8.51086856377293,8.23703164679878,10.4285103229428
"K11187",6.15635204793311,5.57392889400869,8.09530508463106,7.53048763068556,4.12888631590356
"K13789",5.94549975039002,5.39998336945209,8.61845843650739,8.7862506588364,7.50772654623697
"K13348",9.43242652790999,9.62927507692625,11.9856372741338,12.1285279881097,8.9828431559288
"K02949",5.77127482300213,5.89487121766401,8.10673247374809,7.67716022787212,9.28315455020352
