"","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K03839",5.21168312492363,5.52112512623226,4.88371566300819,5.43241685882881,5.20136190590022,5.39363976078252,12.6430139709988,11.9844110044542,12.9101253426786
"K01679",7.99222081075168,7.95383432032268,8.38836767044684,8.53244923158704,8.27992509262424,8.27746414166473,14.2332580402516,13.5631674010174,14.7846949326283
"isip_1a",4.133579141782,4.133579141782,4.51180266880804,4.133579141782,4.133579141782,4.133579141782,8.94203049459779,8.41454554574969,9.72693626730688
"isip_3",5.47985586433139,5.06129174442032,6.27089955195708,4.84431283445605,5.03285203874208,4.95426827905741,9.78296736016824,9.65148356684523,9.76155875019879
"K19347",8.63948969923747,8.88453599512305,4.66695818083004,4.99980537917116,4.81798836337156,4.99741087435882,6.98524925108709,6.98594820447177,5.21271847302884
"K03458",6.59385631790113,6.36994825658015,9.07484401006116,6.91107149928542,7.1456578567872,6.93127784362511,9.3491263701676,9.39963945312634,10.8750164473293
"K09973",9.93106721609188,10.9313779811827,7.28232661369451,7.2907909193733,7.04866102349599,6.26940781846586,9.57023888554125,9.57295269116858,8.70880733885208
"K10420",9.8386212268396,10.7408152796772,7.53217273608285,7.41494326498627,7.18669754075825,6.58616047844608,9.58340332672293,9.27593250962817,9.04989868360454
"K01251",11.5368340316434,11.5481032108267,9.71278459965897,9.14729267380025,9.26486494208428,9.14177443043209,8.70137218981517,9.07049819894437,6.9481191051668
"K22418",11.7064265164494,12.5903276871561,9.55410937395802,9.31038880649024,9.01817688733943,8.49323567695842,11.4075064416285,11.0394924309919,10.4805789400355
"isip_2a",10.9694472732734,10.9515842470178,11.4986067985261,11.1581473089342,11.0768508536703,11.0488958781825,13.6118930352662,13.7209032762557,14.1724608496923
"K20995",6.38864355517344,6.50050468853944,6.78074513683511,6.73527427696063,9.96686157547702,9.47340059691462,8.96234238557671,8.48819604303341,8.05204263521921
"K01218",10.0293276129267,10.7576061876915,7.04728823124451,8.10448386498024,7.99582994784036,6.79139172763451,9.75803096450336,9.43724787313402,8.94828298040589
"K01219",10.0293276129267,10.7576061876915,7.04728823124451,8.10448386498024,7.99582994784036,6.79139172763451,9.75803096450336,9.43724787313402,8.94828298040589
"K01206",10.0363988271706,10.7576061876915,7.04728823124451,8.10448386498024,8.05734016665874,6.79139172763451,9.75803096450336,9.43724787313402,8.94828298040589
"K12308",10.0518344986994,10.7680021056398,7.13853668437363,8.13839555065248,8.0463515213753,6.88350995792945,9.77342741920267,9.45365272123078,9.00722443091212
