"","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K02636",9.89795690053406,10.0157892955021,3.64787161737727,3.06069622824735,3.06069622824735,3.70098503283656,9.37823387074533,9.45108160248546
"K08901",9.13324778304646,8.89100364103036,3.06069622824735,3.96294079341465,3.83369835401554,4.15258589860193,9.31587207741163,9.09371010207248
"K02716",10.6728810214803,10.0953541287649,4.65118872180221,4.45565302017821,5.27047074779784,5.32217485415129,9.769679461478,10.0017368515132
"K08910",9.82907597586588,9.30362498789812,3.64787161737727,3.96294079341465,4.37022712531191,4.68200447576778,9.20614451057763,9.11216618341452
"K02641",12.2791312896301,11.8851770901659,6.27512430460993,6.54655049498062,6.13932090377381,6.18048928898998,10.7397640414678,10.8194371317822
"K00927",11.8580789448976,11.5359647896246,6.27512430460993,6.54655049498062,6.2843456257463,6.50940782990004,11.3304571964098,11.3821815673092
"K10960",7.35641623332819,7.10179875542536,3.64787161737727,4.45565302017821,4.05105746260566,5.38370900035812,10.3495935963026,10.4461084612147
"K15283",10.3132012216863,9.76575044743537,4.45412670568623,4.68854469528905,4.66644161726254,4.15258589860193,8.75516130362354,8.95914739861145
"K14572",4.48373488279527,5.15205964657426,10.4024657327141,11.4193353381703,10.0905389036619,10.7417529727665,9.08540895320995,8.66204601511695
"K03403",10.9798744878,10.6348633783716,5.56835127484861,6.31951756473788,6.13932090377381,6.39845623647722,10.8475083355466,11.2040518404599
"K03839",3.55212783964546,3.54438689110964,3.06069622824735,3.06069622824735,3.06069622824735,3.95906613862805,8.90317200499544,8.79557414783096
"K02719",9.32578825315393,9.08460642513772,4.45412670568623,4.15722654105439,4.43624254226624,4.57193328740673,9.07751652528497,9.17496347143127
"K00855",8.04297647346073,7.83569268618937,3.06069622824735,3.06069622824735,3.51052260228198,3.06069622824735,7.8483695756366,7.76021984352427
"K16362",6.328019000201,8.24012535109124,11.8437221795775,12.0454718791555,7.99546255247297,10.6725553023755,6.37953005733416,6.04515087426945
"K02115",11.1390519381576,10.7296072815639,5.98256213390017,6.04880692540439,5.89915554544544,6.36930439915009,10.3471342942614,10.5664118865687
"K14565",3.55212783964546,4.38789837746142,9.00173476006073,9.73578452300455,8.93910171474108,9.61364070233545,8.8669970705266,8.77448272964231
"K01749",5.7417494169917,5.53695814843953,3.64787161737727,3.06069622824735,3.51052260228198,4.44990772926082,8.84856344301615,9.18807149353909
"K03404",7.09703090671855,6.87518126659558,3.88554994299838,4.15722654105439,4.22388857893963,5.38370900035812,9.45942366221583,9.83399868530627
"K01845",6.92706130107697,6.60568367114356,4.21234717552777,4.78943763297809,4.7662326969514,5.75003000776295,9.88832512217574,10.3644410927124
"K08906",10.6554987670072,10.7231578151777,5.65355478172838,5.93208335466937,6.08744902916977,5.79516871711417,9.5145310872222,9.67448179505073
"K03428",6.33686412016332,6.06105349575547,3.06069622824735,3.06069622824735,3.06069622824735,3.06069622824735,7.72733894756038,8.18059964246147
"K00134",11.8483587395195,11.8508306985802,7.10954333374396,7.10371176793581,7.40950971611101,7.72671482034274,11.2550679822372,11.0390628440419
"K14857",3.40902660833906,3.06069622824735,7.6732893184161,8.47966753101814,7.59826699526956,7.9578303852519,8.21885552677186,7.69632975223321
"K08902",8.46455533147766,8.13220886180577,3.06069622824735,3.70378964137559,3.6943218976063,3.95906613862805,6.84044484715686,6.74772933617631
"K00615",10.8972479433349,10.8387877100623,6.44885906075089,6.57253420415178,6.34430002675072,7.09236520225783,10.4152406449812,10.5591447784088
"K02714",9.60290572153828,9.29929512829257,4.73828182606615,5.39226773642056,5.79448515620543,5.32217485415129,9.22948052434474,9.21251064713577
"K01698",6.41407351809025,6.21815577704524,3.64787161737727,3.06069622824735,3.6943218976063,4.31219835299119,8.27517543014626,8.61103781343711
"K11262",11.3368460475726,10.9712281766936,6.27512430460993,6.69577323785772,6.89650163599523,6.92319380439502,9.9294578024203,10.3547878796744
