"","add_backA","add_backB","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K03839",5.30872168220554,5.30872168220554,5.30872168220554,5.30872168220554,5.30872168220554,12.0587002529846,11.8825944419791,11.8739338208786
"K01679",7.4350401330511,7.2562438328263,7.46394315707718,7.53648481364587,7.65147999058502,13.3957579723901,13.2436036184902,13.1987099403921
"isip_2a",10.0407808151147,9.95323316386443,9.84228934419938,10.0910754802312,9.8840878308442,13.4886222859462,13.4845421662092,13.0442511300933
"K00525",7.2900689179205,7.86010558338345,11.0518852035837,10.9696882609989,10.8002175856758,11.3009284042884,11.3675069867256,11.1352596160885
"K02639",10.5887716211519,10.5417126875347,10.635049365096,10.6334056627818,10.3617417951529,7.6063832776244,7.66344438804939,7.36287873414283
"K00789",9.55755185584761,9.67519142978814,10.2253018702729,10.397160586089,10.2259291317894,7.37257173101367,7.11253803429205,7.17590004256998
"K08906",9.22950951920624,9.05839836479587,8.60358705127844,8.7589140738154,8.60031758584902,6.3045761054852,6.57968973106498,6.58443254412931
"K02320",6.93729973001006,7.13596195601855,9.35185607605474,9.24014606072952,9.18473429459358,9.87794057451929,10.0341084791263,9.79722495911681
"K10808",7.42125537870682,7.5427966846487,10.2682114887114,10.3196813579737,10.0469249865236,9.83652022571967,9.92276668200519,9.5672087389478
"K16752",5.30872168220554,5.30872168220554,5.80714554488004,5.70175807411462,5.79792787168075,7.53298292630584,7.63620061238656,8.1845980381428
"K01783",7.88421345101011,7.69041410473617,7.61482799774716,7.70804912035956,7.80290902747328,9.96907516511184,10.0155746607554,9.86563973204662
"K10807",10.792757954974,10.7874053368637,10.1902913408979,10.3256890874218,9.67487176517389,12.3010005328539,12.1485181645549,12.7214542933984
"isip_3",5.30872168220554,5.30872168220554,5.30872168220554,5.30872168220554,5.30872168220554,7.57933316696812,7.53123641053088,7.29419284834981
"K10895",5.71197548704316,5.7943861809086,7.86327998677461,7.69099440707853,7.69651431595209,8.35052439319722,8.40201274458548,8.40578513896518
"K00854",7.33530632875616,7.19755339842796,7.09596143537074,7.05730720530308,7.22971559330993,9.0512353569824,9.1134829774475,9.62628670445592
"K04799",7.14371825592982,7.5055330178345,9.68147931643913,9.5973239043216,9.6025290363632,9.68237309217962,9.65731070284691,9.47668684363064
"K07375",9.53645374869716,9.83085537579297,12.1229469921249,12.0184897532681,11.8285911398003,11.9076053339298,11.9492743249257,11.8437783187973
"K03743",5.30872168220554,5.30872168220554,5.30872168220554,5.30872168220554,5.50923606134831,7.28421587656516,7.41716443164511,7.42807687116627
"K14286",7.07267782275364,7.2562438328263,9.07207363413193,9.15089524825433,9.31952027521258,9.48420555538396,9.52759799999281,9.39250271868821
"K02327",7.60215686284161,8.03668730233802,9.72385459619028,9.74928318044974,9.48358342288431,10.1635830027045,10.0931474232657,10.0823072313437
"K11294",11.2226556694809,11.2804578834494,10.5301145350347,10.732163741694,10.9481688754032,9.1191273414038,9.07479518469741,9.08637593421466
"K03797",7.54036851262993,7.42766454828418,7.2180449550456,7.43114483686826,7.350533794355,9.38009987626554,9.36644270051283,9.05143015789807
"K15576",6.00274229747537,5.85107928214351,5.64191821636978,5.61354142347783,5.50923606134831,7.81275262514132,6.98152063389523,7.73314500571427
"K04615",5.71197548704316,5.65294511372799,5.970772322512,5.91502412554987,5.79792787168075,7.70940316836282,7.64534381744525,7.38935446977144
"K11274",7.32040490333034,7.38690804101727,9.0591380774383,9.05084531742985,8.94170276255991,9.68237309217962,9.40587149567563,9.48251496831763
"K00362",6.31937840879241,6.07134553980093,5.95009424936897,5.9853688608447,5.7556570818176,7.81275262514132,7.31573535623491,8.03114564644451
"K00034",5.59432771813846,5.30872168220554,5.30872168220554,5.30872168220554,5.30872168220554,7.05927004467253,7.02679756775063,7.23643861789531
"K11252",8.91986692005431,9.42860147778838,10.2632291771003,10.3735139015013,10.5617880405914,11.2722204494978,11.227560807159,11.4497412080404
"K04802",10.2344747931321,10.60717354325,12.1253491991713,12.1906159510414,12.4250239937761,12.4353141053369,12.3300343467124,12.3881785669626
"K02997",11.3102819651355,10.919138332904,10.5704920095941,10.6851884514366,10.6852563445494,9.07318964165841,9.12929854753154,9.33564974058315
"K01782",6.00274229747537,6.2070309372222,5.47559741516697,5.30872168220554,5.30872168220554,7.0454784757318,7.37306956098381,7.25112685271109
"K18615",6.05717708747176,6.07134553980093,5.74877169037678,5.86286678114713,5.83670851031269,7.75808823531567,7.64534381744525,7.23643861789531
"K07466",8.22120547674981,8.23799272360957,10.0337565830664,10.0545491496241,10.0615134164842,10.1780646496115,10.1544857527859,10.0236597425307
"K00327",9.36917795903085,9.6324562348445,9.21621241884618,8.30848562333565,8.51420307923456,10.2782416247081,10.2740939254424,10.7041444230379
"K14207",8.67572417407875,8.70683204541614,8.36574276359317,8.42903440480925,8.19594012327006,10.2345767815282,10.0655695697704,9.92240782719511
"K06669",8.43419689557038,8.46632430757029,9.31491204585239,9.32013504784054,9.29497514758486,10.5649117789732,10.3419030661205,10.4128911842215
"K02324",7.2900689179205,7.41759511689472,8.77396471423958,8.57444029269691,8.79387044345035,9.24593629653542,9.49629692213803,9.3420793414866
"K02210",9.38950564809654,9.4662006887528,10.7854719597445,10.8791378407983,10.8297103423668,11.5336152052053,11.4637522481388,11.2907429519083
"K14994",8.71405223938599,8.72254212618934,8.36809668540224,8.45145530822456,8.22635037187995,10.2318032504513,10.0721061916996,9.92668315679268
"K12893",6.80731740780232,6.91483315497157,6.36692146535146,6.37141372870586,6.39984543067711,8.09522186452054,8.18046957583799,8.1403204949896
"K00107",8.94763478926233,9.33004643504943,7.84623671152575,7.84107664907586,7.92044953873283,9.60292183002024,9.73358000662128,9.48251496831763
"K00416",6.68616618748463,6.49492732776378,6.5622509970825,6.65841879956704,6.52555104918883,8.20877272028405,8.19881773670401,8.16263575157905
"K20216",6.85230623923835,6.94482910162254,6.39072943569387,6.38469906756273,6.43286170389236,8.09522186452054,8.18046957583799,8.1403204949896
"K20793",8.95677171358187,9.05839836479587,8.65439379101217,8.61022138679594,8.46433888630778,10.2565747399483,10.11071432652,10.446004152271
"K02540",9.59592951654009,9.85935689793375,11.2778957275914,11.3442724938044,11.2320138382351,11.7097317149538,11.565588276965,11.44379610791
"K14753",10.0514287047818,10.0751457905372,9.76589730669325,9.81251090692396,9.8840878308442,8.39642663829191,8.41248113453239,8.33587288324744
"K02685",6.7362460415659,6.85240412855203,8.52588106783828,8.5048029909229,8.38270400203395,8.59280141979725,8.57017469761874,8.54722408277077
"K02894",11.1883724673187,10.9208271768801,10.0641648382703,10.2427428019091,10.4073007957784,9.29473680773015,9.03838584213771,9.24246448196702
"K11547",6.78412943207522,6.81986210905364,8.18759075122474,8.33290163966318,8.10049930009295,8.66096399134699,8.70778277325753,8.68087355101984
"K02957",11.1640758289668,10.8675304004921,10.2374206400947,10.3369690839043,10.1401903609369,9.33676078464461,9.04173444627343,9.12422684455603
"K02898",10.6432420742843,10.1889337847539,9.36590495365348,9.52244271474945,9.61106475804982,8.7378616606441,8.48860295143773,8.45452840012494
"K20068",10.6432420742843,10.1889337847539,9.36590495365348,9.52244271474945,9.61106475804982,8.7378616606441,8.48860295143773,8.45452840012494
"K03654",8.99274446533984,8.92597244805604,8.32024986789809,8.35954022832743,8.4322518891556,10.0437465130804,10.0104782628177,10.1088788789216
"K06628",6.87414967515626,7.24472320873713,8.65247306314215,8.7589140738154,8.6400828833447,8.81826724110814,8.8975498223388,8.66548675607872
"K18449",10.6516575123768,10.2001113983819,9.3821230264092,9.53865646482108,9.6279854119012,8.74571865301783,8.52276480380454,8.47828060760929
"K04612",6.19916173643512,6.14225316745098,6.30447043608183,6.17712842625497,6.05135554469862,7.78959500066384,7.7249355903766,7.50222369085448
"K02917",9.96395347522162,9.94992472846008,9.60466654014094,9.86300227962071,9.77824312329042,8.52118214307944,8.36474581319539,8.17731578059041
"K10756",7.32040490333034,7.34482105896834,8.80191373279249,8.98963362288441,8.81630749156657,9.14006945106219,9.11666013430291,9.05143015789807
"K14291",6.19916173643512,6.23753024111399,7.91316693832524,7.87893896571085,7.68539698803636,7.95091456621508,7.89419502200691,7.88576584629055
"K00856",7.91327808123922,7.83818080690522,7.91968289636664,7.97621334610807,7.74543371681068,6.45944651365956,6.35712632077345,6.44482620630625
"K16617",5.9432722680367,6.03303214721413,6.94649037068517,6.91553236443364,6.95571947322463,7.50436920604515,7.80007821027722,8.03114564644451
"K07374",10.6530553194652,10.7005970047084,12.3786329023762,12.4222228642471,12.2473213045821,12.2813719408381,12.2808633664224,12.0976991092669
"K02690",9.58716379512944,8.86016350451939,7.83244658478766,8.03410004128469,9.16937183945407,7.78959500066384,7.5112222227829,8.06322838891476
"K03527",8.04131102560001,8.08675209752704,7.90333437647731,8.00034479225459,7.84818478457742,9.42703496620964,9.49629692213803,9.31618586721374
"K02940",11.4381646682008,11.3321304020488,11.3279261662745,11.4022340130827,11.4088864531769,10.006895328583,9.97603284941516,9.8499650951052
"K02901",9.91113605275367,10.0583495954149,10.0705981092886,10.2504839709644,10.1528949198584,8.64422886772834,8.73293821213426,8.6236181132828
"K05288",9.91113605275367,10.0583495954149,10.0705981092886,10.2504839709644,10.1528949198584,8.64422886772834,8.73293821213426,8.6236181132828
"K02896",11.5910447117168,11.4525820321722,11.2362651854121,11.3257543211401,11.2162852305,10.0052714876976,9.93537309139341,9.92881606410077
"K08991",6.19916173643512,6.1753185726494,7.27222715531726,7.28760889601115,7.37903096083632,8.08897985582264,8.00339165582436,7.77294325078027
"K12390",7.03553773048516,7.1854773700068,6.42532272615685,6.64837780432449,6.33000529582737,8.28144631279196,8.02422600439872,7.67114840710457
