"","ko_id","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"1","K02716",5.33634239027148,5.41544911660977,11.8569586728352,11.9138150258241,6.31364437966052
"2","K08901",4.96753229051424,4.84077290412007,11.0832667617669,11.1794882961394,4.91947261339932
"3","K03839",3.55742645821109,3.55742645821109,9.57210810168953,9.81802192952923,9.16888390833675
"4","K10960",4.04408578705513,4.42156964009715,10.2270416431661,10.4553629856119,6.00132097388958
"5","K08910",5.33634239027148,5.07622608897654,10.5798518029218,10.6001925863695,4.58866638384722
"6","K02636",4.39263495101978,4.29080567469706,9.57416361689754,9.7099580127128,3.55742645821109
"7","K02719",4.39263495101978,4.94802688947446,10.4437310399549,10.5182579751964,5.51130896750917
"8","K02714",4.51754979962815,5.32092659636721,10.2996378271083,10.0232592239627,6.08635961532299
"9","K08907",5.10402685054191,5.24486836115781,9.50041782512831,9.59473593462891,4.68256538194776
"10","K08906",6.346040340884,6.77231530835908,10.7827464874213,10.8670338686116,5.94149742359783
"11","K02115",6.346040340884,5.71746728153304,10.6172075400605,10.912003500661,7.22295523293223
"12","K01749",3.55742645821109,4.42156964009715,8.59497510998047,8.82204385257794,5.37671692152797
"13","K03403",7.17295104682182,7.32818315155284,11.4326947503267,11.8728653143608,7.30587645024698
"14","K03404",4.04408578705513,4.53327631451442,8.6545082803668,9.23718340437733,6.46768205263459
"15","K01845",4.51754979962815,4.67750171443367,9.02900206334444,9.19560023541843,6.7998646541647
"16","K02703",12.5027595587621,11.9385258602181,9.84321239576725,8.9095416969914,14.3200137766749
"17","K03428",4.04408578705513,4.42156964009715,8.07906624875811,8.34710268514159,4.58866638384722
"18","K13107",9.96945932284833,6.94405814338037,9.74080212062269,8.51553289102262,12.6270279494597
"19","K01698",3.55742645821109,4.02422750140824,7.82605210098705,7.86362948785296,5.37671692152797
"20","K01535",6.92038461592053,6.10387888612013,7.40264328232092,6.77734313780378,11.2034223910716
"21","K19073",3.55742645821109,3.88822128085024,7.16003182672652,7.74727762335128,4.02642423347296
"22","K03235",7.10321173391754,6.67790845459816,9.28640370392527,9.23923140634109,11.4011774900695
"23","K02641",7.07432935578884,7.2825706586362,10.5726743722613,10.6564307677931,7.18588550749357
"24","isip_2a",8.94015753946255,9.38775816128564,11.3251523451125,11.8722058553641,13.4445219822339
"25","K15283",5.10402685054191,5.29610466200889,7.92622718426052,8.65713968249408,4.58866638384722
"26","K03526",5.28238434647821,5.1061007136197,8.55803685715481,8.68446528992767,6.87974154949835
"27","K02014",5.48527779249995,5.1061007136197,5.85921697330701,5.27910583564793,9.17202788543919
"28","K14572",7.51072658616311,6.46759130923229,7.43026338307723,6.47297482498306,10.5466816069749
"29","K05034",7.70155004975488,8.97321132952789,9.98126813007469,10.0951091594981,6.14022944713685
"30","K03234",8.28152895880149,8.19722621383722,10.0987148557038,9.98838255385276,12.2410586903067
"31","K02293",4.72317897075127,4.53327631451442,7.79104391826849,8.0245642662813,6.1920528983653
"32","K11187",6.13463477015197,5.52428959920399,8.0848542140413,7.51604210540498,4.02642423347296
"33","K02932",6.76588822632998,6.37149243837478,8.5029508962691,8.22827566918457,10.4228672701883
"34","K13789",5.91824464210367,5.3452504837182,8.61109279974784,8.78044483161321,7.48922402184702
"35","K14525",3.55742645821109,4.02422750140824,6.36860716816119,6.928578587543,4.02642423347296
"36","K13348",9.35812693930247,9.49980746303093,11.9425676024824,12.0914666472973,8.86130860203525
"37","K02949",5.7390063932307,5.85369938436434,8.09636068625884,7.66411099238308,9.27503699463092
"38","K00138",4.39263495101978,4.63194490561005,4.5188794157104,4.10460334357608,7.7478163501673
"39","K00134",8.88754078536241,8.94070780559822,11.7165669169834,11.7276730874648,9.16888390833675
"40","K10151",8.98322632300462,8.3343331810331,8.0319036838603,8.78886128361821,5.32838592714973
"41","K00053",5.33634239027148,5.13521286171646,7.27636984238006,7.04647548485708,8.70508129234817
"42","K02492",4.96753229051424,5.66249130458901,8.0497715225505,8.36973422997674,7.06850536245461
"43","K02938",7.14546415893096,6.77231530835908,9.17973464979941,9.07922640122033,10.2507289150902
"44","K11065",7.22638239448603,6.75561461561436,7.40264328232092,5.96490750826209,9.86052345730319
"45","K02951",7.02987406872985,6.66900328678177,9.16616922317235,8.67541423522525,10.1086948352668
"46","K02936",6.04609973617166,5.64363569721486,7.95812364327556,7.49554855988757,9.20923028364044
"47","K04040",3.55742645821109,3.88822128085024,6.36860716816119,6.5285216319795,4.02642423347296
"48","K02973",6.16291187117176,5.90137515276238,8.20131007304631,7.82588426786864,9.33236146578698
"49","K00231",4.04408578705513,4.02422750140824,6.66372408877396,7.02749397332255,4.91947261339932
"50","K01599",4.62618933199912,4.53327631451442,7.2455714973321,7.5429180834654,5.63291253819398
"51","isip_3",6.04609973617166,5.77022052848488,7.77679789466864,9.01850828332496,8.18200826319956
"52","K01662",6.10575896336293,6.58620665884144,8.94886561981192,9.22276534124201,7.88472204070906
"53","K08902",4.24248029124479,4.29080567469706,6.51527711545078,6.87640404838036,4.02642423347296
"54","K02984",7.02987406872985,6.14359578492092,8.43212498896188,8.33181478950054,9.70212197897862
