"","Organism","Treatment","AvgFv.Fm","SdFv.Fm","AvgtQa","SdtQa","AvgSigma","SdSigma"
"1","C. closterium UGA4","Low Iron",0.44,0.00871779788708136,1661.33333333333,87.848354186822,294.633333333333,6.97160909212021
"2","C. closterium UGA4","Fe Ammendment",0.4495,0.00636396103067893,1461,41.0121933088198,260,5.23259018078044
"3","C. closterium UGA8","High Iron",0.432,0.0753458691634784,1406.33333333333,394.975104700706,250.133333333333,2.66333124739175
"4","C. closterium UGA8","Low Iron",0.468333333333333,0.0185562208796224,1603.33333333333,321.232522222351,277.7,2.44335834457413
"5","C. closterium UGA8","Fe Ammendment",0.5545,0.0219203102167829,1145,73.5391052434009,251.4,1.5556349186104
"6","G. huxleyi","High Iron",0.427,0.00173205080756888,1269.33333333333,98.2768199187038,213.833333333333,4.46131520219468
"7","G. huxleyi","Low Iron",0.241833333333333,0.0359967591133794,15362.5,2322.09523921824,227.2,8.9153799694685
"8","G. huxleyi","Fe Ammendment",0.405166666666667,0.0113387242080697,3546.83333333333,864.50411604958,230.45,7.39371354597945
"9","G. oceanica","High Iron",0.45,0.0113578166916006,1599.33333333333,61.2318000170935,222.566666666667,9.72899446671305
"10","G. oceanica","Low Iron",0.261833333333333,0.0471228889889687,5168.16666666667,717.049905283214,221.433333333333,9.26556348349449
"11","G. oceanica","Fe Ammendment",0.391,0.0257390753524675,1636,352.016334848257,247.3,58.4596014355213
