Organism,Treatment,Fv/Fm,tQa
G. oceanica,High Fe,0.45 ± 0.011,1600 ± 61
G. oceanica,Low Fe,0.26 ± 0.047,5200 ± 720
G. oceanica,Fe ammendment,0.39 ± 0.026,1600 ± 350
G. huxleyi,High Fe,0.43 ± 0.0017,1300 ± 98
G. huxleyi,Low Fe,0.24 ± 0.036,15000 ± 2300
G. huxleyi,Fe ammendment,0.41 ± 0.011,3500 ± 860
C. closterium 8,High Fe,0.43 ± 0.075,1400 ± 390
C. closterium 8,Low Fe,0.47 ± 0.019,1600 ± 320
C. closterium 8,Fe ammendment,0.55 ± 0.022,1100 ± 74
C. closterium 4,Low Fe,0.44 ± 0.0087,1700 ± 88
C. closterium 4,Fe ammendment,0.45 ± 0.0064,1500 ± 41
