Culture,Taxa,Shelf,Treatment,rep,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,a,04pFe21.9A.000,10/7/22,45231,0,11241,17165,17481,5924,6239,0.345,0.357,292.2,0.07,0.62,602,0.3,4434,0.09,295150,--------,-------,1850,27075,0,12234,0.08,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11963.6,1,0,0,540.4,0
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,a,04pFe21.9A.001,10/7/22,45271,250,10651,11206,11238,555,587,0.05,0.052,187.7,0.03,0.17,615,0.75,9274,0.08,340098,--------,-------,7716,34435,0,10723,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8276.7,0.19,250,138.8,129.6,0.53
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,a,04pFe21.9A.002,10/7/22,45310,500,7490,7853,7841,363,351,0.046,0.045,180.9,0.13,0.21,767,0.71,6089,0.08,450410,--------,-------,4869,42497,0,7531,0.01,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6107.1,0.21,500,259.3,205.4,1.19
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,a,04pFe21.9A.003,10/7/22,45350,1000,6738,6975,6980,237,242,0.034,0.035,183.7,0.03,0.24,755,0.7,4864,0.06,308840,--------,-------,3825,23134,0,6762,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5497.4,0.16,1000,380.4,261.4,1.46
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,a,04pFe21.9A.004,10/7/22,45389,1500,6141,6276,6268,135,127,0.021,0.02,209.6,0.45,0.18,993,0.62,5841,0.2,266940,--------,-------,4759,56157,0,6161,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5025.5,0.11,1500,361.2,210.1,1.74
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,a,04pFe21.9A.005,10/7/22,45429,2000,5702,5785,5793,83,91,0.014,0.016,171.8,0.23,0.23,1290,0.66,5912,0.11,126070,--------,-------,4724,17954,0,5710,0,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4732.4,0.08,2000,322.4,211.7,1.97
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,b,04pFe21.9B.000,10/7/22,45666,0,7079,11239,11430,4160,4352,0.37,0.381,299.5,0.1,0.58,531,0.33,3682,0.09,232702,--------,-------,1678,23431,0,7772,0.09,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7527.5,1,0,0,596.1,0
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,b,04pFe21.9B.001,10/7/22,45705,250,6966,7432,7448,466,482,0.063,0.065,191,0.07,0.18,669,0.75,8290,0.07,354419,--------,-------,6802,30122,0,7021,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5523.1,0.24,250,168,147,0.51
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,b,04pFe21.9B.002,10/7/22,45745,500,4987,5329,5323,342,336,0.064,0.063,191.3,0.03,0.3,766,0.65,5273,0.05,595634,--------,-------,3862,32699,0,5020,0.01,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4121.8,0.28,500,343.6,259,1.11
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,b,04pFe21.9B.003,10/7/22,45785,1000,4598,4803,4802,206,204,0.043,0.043,190,0.12,0.3,870,0.63,4889,0.07,354526,--------,-------,3602,27079,0,4618,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3752.1,0.2,1000,458.7,277.6,1.34
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,b,04pFe21.9B.004,10/7/22,45824,1500,4246,4380,4382,134,137,0.031,0.031,179.6,0.12,0.31,1046,0.56,5096,0.13,257712,--------,-------,3654,36569,0,4266,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3472.6,0.15,1500,492,273.7,1.57
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,b,04pFe21.9B.005,10/7/22,45864,2000,3982,4067,4059,85,78,0.021,0.019,167.2,0.11,0.25,927,0.64,5416,0.11,234505,--------,-------,4167,30491,0,3991,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3290.5,0.11,2000,448.5,240,1.76
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,c,04pFe21.9C.000,10/9/22,68573,0,6526,10203,10283,3678,3757,0.36,0.365,304.4,0.05,0.69,785,0.2,7919,0.1,198937,--------,-------,2404,22303,0,7147,0.09,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7030.2,1,0,0,416,0
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,c,04pFe21.9C.001,10/9/22,68613,250,10679,10880,10901,201,222,0.018,0.02,197.8,0.55,0.04,496,0.67,18606,0.29,363342,--------,-------,17652,118001,0,10725,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,7592.7,0.06,250,51.5,56.7,-0.06
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,c,04pFe21.9C.002,10/9/22,68653,500,8811,8925,8942,114,131,0.013,0.015,205,0.7,0.05,450,0.61,17552,0.34,537099,--------,-------,16290,191813,0,8837,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6428.9,0.05,500,71.3,61.4,0.14
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,c,04pFe21.9C.003,10/9/22,68692,1000,7352,7417,7430,65,77,0.009,0.01,198.8,0.7,0.06,631,0.48,15427,0.47,447751,--------,-------,13876,217017,0,7374,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5548.9,0.03,1000,97.7,72.1,0.38
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,c,04pFe21.9C.004,10/9/22,68732,1500,6332,6364,6373,32,41,0.005,0.006,230.5,0.7,0.07,655,0.41,19181,0.52,424014,--------,-------,16425,227832,0,6351,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4944.8,0.02,1500,85.3,60.9,0.6
C. closterium UGA4,Diatom,Outer Shelf,Low Fe,c,04pFe21.9C.005,10/9/22,68772,2000,5635,5565,5566,-70,-70,-0.013,-0.013,46.8,0.12,0.99,10,0,1206,0,60000,--------,-------,15,115,0,5636,0,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4528.3,-0.07,2000,-282.7,68656.6,0.83
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,a,04add_back.A.000,10/8/22,63079,0,46663,64554,65666,17891,19003,0.277,0.289,260.1,0.26,0.74,510,0.19,6636,0.08,330315,--------,-------,1741,26432,0,48943,0.05,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,49085.9,1,0,0,574.5,0
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,a,04add_back.A.001,10/8/22,63118,250,75357,78688,79037,3330,3679,0.042,0.047,187.3,0.21,0.08,459,0.7,15123,0.22,60000,--------,-------,13651,23723,0,75746,0.01,400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,44547.9,0.1,250,131.5,73.3,0.98
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,a,04add_back.A.002,10/8/22,63158,500,66428,69486,69720,3057,3291,0.044,0.047,190.5,0.15,0.1,527,0.7,8519,0.2,60000,--------,-------,7551,17964,0,66737,0,400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,40220.7,0.1,500,273.5,132.4,1.24
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,a,04add_back.A.003,10/8/22,63198,1000,60361,62244,62378,1883,2017,0.03,0.032,196.5,0.21,0.1,791,0.76,8525,0.14,212817,--------,-------,7639,36689,0,60636,0,400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,37581.8,0.08,1000,376,130.9,1.5
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,a,04add_back.A.004,10/8/22,63237,1500,54527,55542,55672,1015,1144,0.018,0.021,191.6,0.25,0.09,933,0.73,9066,0.17,188669,--------,-------,8156,39520,0,54694,0,400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,35485.1,0.05,1500,340.7,122.6,1.8
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,a,04add_back.A.005,10/8/22,63277,2000,49478,49752,49839,274,361,0.006,0.007,194.8,0.64,0.06,913,0.57,15218,0.37,402062,--------,-------,13930,159468,0,49560,0,400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,34265.7,0.02,2000,137.1,71.8,2.13
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,b,04add_back.B.000,10/8/22,63484,0,31703,45138,46019,13435,14316,0.298,0.311,268.8,0.26,0.75,552,0.18,7481,0.08,331880,--------,-------,1883,27394,0,33499,0.05,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,33363.3,1,0,0,531.2,0
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,b,04add_back.B.001,10/8/22,63524,250,57928,60275,60574,2347,2646,0.039,0.044,190.4,0.19,0.07,411,0.82,18026,0.11,223746,--------,-------,16587,38727,0,58276,0.01,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,34720.9,0.09,250,116.4,60.3,0.81
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,b,04add_back.B.002,10/8/22,63564,500,51754,54028,54229,2274,2476,0.042,0.046,193,0.19,0.09,467,0.71,8969,0.2,60000,--------,-------,8002,18617,0,51984,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,31450.6,0.1,500,251.8,125,1.01
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,b,04add_back.B.003,10/8/22,63603,1000,47301,48859,49002,1558,1702,0.032,0.035,198.6,0.08,0.12,796,0.76,8322,0.12,227965,--------,-------,7293,34162,0,47538,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,29466.7,0.08,1000,381.4,137.1,1.23
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,b,04add_back.B.004,10/8/22,63643,1500,43215,44014,44082,800,867,0.018,0.02,189.1,0.28,0.08,912,0.74,9331,0.17,179179,--------,-------,8504,38285,0,43334,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,27977.5,0.05,1500,326,117.6,1.47
C. closterium UGA4,Diatom,Outer Shelf,Iron Add-Back,b,04add_back.B.005,10/8/22,63683,2000,39592,39863,39941,271,349,0.007,0.009,192.5,0.7,0.06,723,0.43,15750,0.51,544673,--------,-------,13995,286471,0,39705,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,27121.3,0.02,2000,162.5,71.5,1.73
