File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
04pFe21.9_A,10/7/22,45170,0,8835,15949,16033,7114,7198,0.446,0.449,286.6,0.08,0.63,549,0.28,4336,0.09,275929,--------,-------,1708,26645,0,10004,0.12,1200,--------,-------,--------,-------,--------,-------,--------,-------,-------- -,-------,--------,9474.8,1,0,0,585.5,0
04pFe21.9_B,10/7/22,45619,0,5960,10714,10827,4755,4867,0.444,0.45,298.2,0.14,0.63,504,0.28,3908,0.09,253934,--------,-------,1560,24887,0,6730,0.11,1400,--------,-------,--------,-------,--------,-------,--------,-------,-------- -,-------,--------,6374.2,1,0,0,641.1,0
04pFe21.9_C,10/9/22,68501,0,5369,9414,9397,4045,4028,0.43,0.429,299.1,0.05,0.69,651,0.19,5643,0.12,151111,--------,-------,1716,19676,0,6051,0.11,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,5832.7,1,0,0,582.8,0
04Fe_add_A,10/8/22,63034,0,32487,59450,59487,26963,27001,0.454,0.454,256.3,0.25,0.73,465,0.18,5374,0.09,-251051,------- -,------,1432,22896,0,35871,0.09,600,--------,-------,-------- -,------ -,------- -,------ --,------ --,-----,--------,-------- -,-------,34294.7,1,0,0,698.1,0
04Fe_add_B,10/8/22,63437,0,23425,42185,42569,18760,19143,0.445,0.45,263.7,0.26,0.74,476,0.17,6000,0.09,-228293,------- -,------,1490,21756,0,25833,0.09,800,--------,-------,-------- -,------ -,------- -,------ --,------ --,-----,--------,-------- -,-------,24703.9,1,0,0,671.3,0
08pFe19_A,10/9/22,68982,0,11544,21972,21865,10428,10320,0.475,0.472,248.4,0.31,0.75,451,0.14,5879,0.11,152388,--------,-------,1321,17695,0,12731,0.09,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12270,1,0,0,756.9,0
08pFe19_B,10/9/22,71098,0,10347,15792,15874,5446,5527,0.345,0.348,248.8,0.2,0.75,525,0.15,8642,0.1,166376,--------,-------,1837,18350,0,11035,0.06,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10852.1,1,0,0,544.4,0
08pFe19_C,10/9/22,71193,0,8785,16765,16874,7980,8089,0.476,0.479,253.2,0.31,0.75,464,0.12,4687,0.13,106574,--------,-------,1061,14937,0,9694,0.09,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,9417.8,1,0,0,942.4,0
08pFe21.9_A,10/9/22,71588,0,5600,10899,10925,5299,5324,0.486,0.487,279.4,0.08,0.73,633,0.16,8137,0.11,183269,--------,-------,1971,21808,0,6453,0.13,1400,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,6237.9,1,0,0,507.5,0
08pFe21.9_B,10/10/22,48679,0,7169,13537,13513,6368,6344,0.47,0.469,274.9,0.19,0.58,453,0.33,3034,0.09,-290725,------- ---,----,1377,27306,0,8102,0.12,1200,-------- -,------ -,------- -,------ ---,----- -,------ -,-------,-------,-------- -,------- -,-------,7615.6,1,0,0,726,0
08pFe21.9_C,10/10/22,49083,0,5559,10096,10216,4537,4657,0.449,0.456,278.8,0.1,0.55,415,0.37,3031,0.09,-286324,------- ---,----,1462,26085,0,6278,0.11,1400,-------- -,------ -,------- -,------ ---,----- -,------ -,-------,-------,-------- -,------- -,-------,5940.1,1,0,0,684.1,0
08Fe_add_B,10/11/22,50640,0,13659,29614,29565,15955,15906,0.539,0.538,250.3,0.34,0.68,396,0.23,3157,0.08,-263986,------- --,-----,1093,23296,0,15456,0.12,800,-------- --,-----,-------- -,------ -,-------,------- -,-------,------- -,------- --,------,--------,14555.1,1,0,0,915.1,0
08Fe_add_C,10/11/22,51045,0,20175,46943,46880,26767,26705,0.57,0.57,252.5,0.34,0.7,419,0.22,3688,0.08,-276731,------- --,-----,1197,24467,0,23244,0.13,600,-------- --,-----,-------- -,------ -,-------,------- -,-------,------- -,------- --,------,--------,21915.1,1,0,0,835.4,0
06pFe19_A,11/10/22,62651,0,3079,5732,5846,2653,2768,0.463,0.473,215.7,0.03,0.65,645,0.28,3957,0.07,-234857,-------,-------,1646,18422,0,3400,0.09,1600,-------- -,------ --,------ -,------ -,------- -,------ ---,----- ---,---- -,-------,-------- -,-------,3264.2,1,0,0,607.5,0
06pFe19_B,11/10/22,63255,0,6150,11075,11416,4925,5266,0.445,0.461,233.7,0.03,0.68,623,0.24,4101,0.07,-236842,-------,-------,1530,18900,0,6807,0.1,1400,-------- -,------ --,------ -,------ -,------- -,------ ---,----- ---,---- -,-------,-------- -,-------,6543.9,1,0,0,653.6,0
06pFe19_C,11/10/22,63776,0,17345,31073,31275,13728,13930,0.442,0.445,218.3,0.04,0.67,623,0.25,4286,0.08,-203884,-------,-------,1622,17843,0,19029,0.09,800,-------- -,------ --,------ -,------ -,------- -,------ ---,----- ---,---- -,-------,-------- -,-------,18344.6,1,0,0,616.5,0
06pFe21.9_A,12/2/22,74736,0,5882,7726,8040,1843,2157,0.239,0.268,216.5,0.03,0.45,1685,0.43,8051,0.12,63814,--------,-------,4789,11773,0,6048,0.03,1400,-------- -,------ --,------ -,------ -,-------,------- --,------,-------,-------- -,------- -,-------,6145.9,1,0,0,208.8,0
