File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
---------------,--------------,--------,---------,----------,---------,--------,---------,----------,--------,----------,----------,---------,-------,----------,-------,----------,-------,--------,---------,--------,---------,---------,---------,---------,------------,------,---------,--------,---------,--------,---------,--------,---------,--------,---------,---------,-----,,,,,,
04 pFe19.1,10/6/22,54812,0,13831,22695,22887,8864,9056,0.391,0.396,240.8,0.28,0.67,485,0.24,4066,0.08,292981,--------,-------,1440,25207,0,14882,0.07,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,14639.8,1,0,0,694.3,0
04 pFe19.2,10/6/22,54851,250,25623,26751,26895,1127,1271,0.042,0.047,188.1,0.21,0.08,480,0.82,16547,0.1,233226,--------,-------,15162,37077,0,25786,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13966.8,0.09,250,86,66,-0.15
04 pFe19.3,10/6/22,54891,500,21679,22939,23055,1259,1375,0.055,0.06,188.2,0.08,0.12,563,0.79,9065,0.09,334508,--------,-------,7925,36029,0,21854,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12380.7,0.12,500,224.1,126.2,-0.01
04 pFe19.4,10/6/22,54930,1000,19752,20587,20653,835,902,0.041,0.044,200.6,0.13,0.13,704,0.77,7308,0.09,455124,--------,-------,6344,48966,0,19872,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11430.7,0.09,1000,331.3,157.6,0.1
04 pFe19.5,10/6/22,54970,1500,18072,18534,18586,462,514,0.025,0.028,200.5,0.25,0.12,891,0.76,7235,0.11,278191,--------,-------,6343,36789,0,18134,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10845.9,0.06,1500,305.6,157.6,0.22
04 pFe19.6,10/6/22,55009,2000,16466,16600,16606,135,140,0.008,0.008,221.9,0.7,0.07,744,0.54,10363,0.39,414129,--------,-------,9278,167907,0,16499,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10444.2,0.02,2000,132.5,107.8,0.37
04 pFe19.1,8/17/22,39462,0,32307,45547,47031,13240,14724,0.291,0.313,200.6,0.36,0.7,431,0.24,3341,0.06,400035,--------,-------,1173,25419,0,33505,0.04,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,33345.6,1,0,0,852.5,0
04 pFe19.2,8/17/22,39503,250,49070,50599,50542,1530,1473,0.03,0.029,303,0.54,0.08,630,0.86,15377,0.06,126415,--------,-------,14136,21013,0,49181,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,30801,0.08,250,69.1,70.7,1.17
04 pFe19.3,8/17/22,39544,500,34265,34974,36753,708,2488,0.02,0.068,482,0.08,0.96,43,0.04,9029,0,75451,--------,-------,403,494,0,34433,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,22981.8,0.06,500,92.6,2482,2.14
04 pFe19.4,8/17/22,39585,1000,30710,30412,30263,-298,-448,-0.01,-0.015,67.4,0.7,0.32,940,0.5,11194,0.18,140805,--------,-------,7202,31784,0,30701,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19854.1,-0.03,1000,-89.7,138.9,2.61
04 pFe19.5,8/17/22,39625,1500,28740,28211,28072,-529,-668,-0.019,-0.024,67.1,0.7,0.17,1102,0.63,10133,0.2,185264,--------,-------,8200,42736,0,28752,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,20047.8,-0.06,1500,-257.2,121.9,2.89
04 pFe19.6,8/17/22,39666,2000,27454,26726,26696,-729,-759,-0.027,-0.028,80.6,0.68,0.04,486,0.88,16726,0.08,310803,--------,-------,16042,40324,0,27430,0,600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,19548.4,-0.1,2000,-498.5,62.3,3.11
04 pFe19.1,8/15/22,64705,0,12278,19354,19466,7076,7188,0.366,0.369,193.6,0.35,0.68,473,0.23,8482,0.09,172378,--------,-------,2489,17794,0,12890,0.05,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12064.4,1,0,0,401.8,0
04 pFe19.2,8/15/22,64745,250,24260,24851,27447,591,3187,0.024,0.116,449.6,0.14,0.99,24,0.01,11985,0,60000,--------,-------,170,175,0,24431,0.01,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,14543.9,0.06,250,41.7,5870.1,-0.22
04 pFe19.3,8/15/22,64784,500,23214,23154,23040,-60,-173,-0.003,-0.008,61.5,0.7,0.03,2778,0.67,18630,0.3,174828,--------,-------,17973,65653,0,23219,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13751.4,-0.01,500,-9,55.6,-0.16
04 pFe19.4,8/15/22,64824,1000,21604,21011,20908,-593,-696,-0.028,-0.033,58.8,0.7,0.05,824,0.75,12629,0.21,163724,--------,-------,11914,43067,0,21603,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13137.8,-0.08,1000,-198,83.9,-0.08
04 pFe19.5,8/15/22,64863,1500,19815,19050,19002,-766,-813,-0.04,-0.043,71.5,0.47,0.09,1098,0.78,15161,0.13,88139,--------,-------,13718,23133,0,19790,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12643.2,-0.12,1500,-422.9,72.9,0.02
04 pFe19.6,8/15/22,64903,2000,18086,17245,17160,-841,-926,-0.049,-0.054,76.5,0.35,0.05,1652,0.83,14652,0.12,75370,--------,-------,13906,20982,0,18062,0,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12289,-0.17,2000,-684.2,71.9,0.12
04lq0926.000,9/26/22,48720,0,3002,3929,4117,927,1115,0.236,0.271,164.6,0.3,0.72,469,0.2,6564,0.08,123357,--------,-------,1794,11104,0,3072,0.02,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3135.7,1,0,0,557.4,0
04lq0926.001,9/26/22,48761,250,3701,4045,4146,345,445,0.085,0.107,178.6,0.36,0.4,685,0.51,11203,0.09,60000,--------,-------,6593,11590,0,3722,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3201,0.41,250,196.8,151.7,-0.03
04lq0926.002,9/26/22,48802,500,3784,4045,4108,261,324,0.064,0.079,187.7,0.21,0.38,795,0.56,8204,0.06,429094,--------,-------,5185,28970,0,3810,0.01,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3203,0.31,500,297.9,192.9,-0.03
04lq0926.003,9/26/22,48842,1000,3905,4013,4038,108,133,0.027,0.033,263.6,0.48,0.26,907,0.64,7262,0.1,267512,--------,-------,5422,30918,0,3918,0,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3193.9,0.13,1000,249.1,184.4,-0.02
