File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
04pFe19,8/5/22,60662,0,11865,17624,18214,5758,6348,0.327,0.349,171.9,0.32,0.76,446,0.17,4865,0.07,178344,,,1275,13256,0,12307,0.04,1200,,,,,,,,,,,,12215.8,1,0,0,784.6,0
04pFe19,7/29/22,60489,0,16638,27925,28644,11287,12006,0.404,0.419,202.4,0.36,0.75,445,0.19,4359,0.07,301657,,,1223,20996,0,17630,0.06,1000,,,,,,,,,,,,17078.8,1,0,0,817.8,0
04pFe19,8/3/22,50750,0,242,352,350,109,108,0.311,0.307,186.7,0.41,0.99,63,0.01,226,0.01,1067889,,,64,6142,0,253,0.04,2000,,,,,,,,,,,,405.3,1,0,0,15647,0
04pFe19,8/3/22,51198,0,268,357,356,89,87,0.249,0.246,231.5,0.68,0.9,70,0,165,0.09,1150722,,,70,105322,0,280,0.04,1800,,,,,,,,,,,,432.7,1,0,0,14189.5,0
04pFe21.9,8/3/22,50915,0,60,124,124,64,64,0.517,0.515,177.6,0.51,0.37,64,0.52,80,0.11,676587,,,73,75977,0,69,0.13,1800,,,,,,,,,,,,230.7,1,0,0,13647.7,0
04pFe21.9,8/3/22,51259,0,81,179,178,99,98,0.55,0.547,188.2,0.55,0.81,63,0.13,81,0.06,1240789,,,66,74986,0,94,0.14,1700,,,,,,,,,,,,232.9,1,0,0,15232.9,0
04pFe19,9/26/22,46599,0,4412,7599,8104,3187,3692,0.419,0.456,189.8,0.39,0.72,407,0.22,3888,0.07,224527,,,1212,15749,0,4673,0.06,1600,,,,,,,,,,,,4628.6,1,0,0,824.8,0
04pFe21.9,9/26/22,46648,0,4450,6512,6819,2063,2369,0.317,0.347,270.2,0.11,0.48,618,0.42,6858,0.11,140933,,,3515,17987,0,4757,0.06,1600,,,,,,,,,,,,4799.2,1,0,0,284.5,0
04pFe19,9/26/22,49311,0,8450,14711,15009,6261,6559,0.426,0.437,186.8,0.4,0.74,409,0.2,4019,0.07,271906,,,1166,18887,0,8931,0.05,1200,,,,,,,,,,,,8700,1,0,0,857.6,0
04pFe19,9/26/22,49447,0,8354,14611,14943,6257,6589,0.428,0.441,185.8,0.39,0.74,405,0.2,4003,0.07,226054,,,1159,16578,0,8831,0.05,1200,,,,,,,,,,,,8617.1,1,0,0,863,0
04pFe19,8/15/22,64580,0,10168,16684,16957,6516,6789,0.391,0.4,205.2,0.37,0.76,448,0.16,5600,0.07,217162,,,1353,17362,0,10730,0.05,1200,,,,,,,,,,,,10489.3,1,0,0,738.9,0
04pFe19,8/17/22,40331,0,16354,21475,21597,5121,5243,0.238,0.243,162.6,0.3,0.75,411,0.19,3823,0.06,203880,,,1088,13757,0,16702,0.02,1000,,,,,,,,,,,,16400.1,1,0,0,918.8,0
04pFe21.9,3/18/22,1366,0,10695,17861,18225,7166,7529,0.401,0.413,312.5,0.08,0.72,631,0.2,4077,0.08,358860,,,1385,31136,0,11972,0.11,1200,,,,,,,,,,,,11488.4,1,0,0,722.1,0
04pFe19,3/25/22,420,0,116109,148642,153339,32533,37230,0.219,0.243,210.8,0.03,0.47,532,0.37,4334,0.16,60000,,,2208,11609,0,119536,0.03,200,,,,,,,,,,,,120802.7,1,0,0,453,0
04pFe21.9,3/25/22,836,0,22090,28727,28964,6637,6875,0.231,0.237,272.7,0.04,0.66,798,0.26,5728,0.08,242412,,,2204,21682,0,23074,0.04,900,,,,,,,,,,,,22597.7,1,0,0,453.6,0
