File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,PAR,ETR,1/Tau,NPQ
04pFe19,8/5/22,60662,0,11865,17624,18214,5758,6348,0.327,0.349,171.9,0.32,0.76,446,0.17,4865,0.07,178344,--------,-------,1275,13256,0,12307,0.04,1200,--------,------- -,------- -,------,-------- --,----- --,------,-------,-------- -,------- --,------,12215.8,1,0,0,784.6,0
04pFe19,7/29/22,60489,0,16638,27925,28644,11287,12006,0.404,0.419,202.4,0.36,0.75,445,0.19,4359,0.07,301657,-------- -,------,1223,20996,0,17630,0.06,1000,--------,------- -,-------,-------,-------- -,------ -,------- -,------ -,------- --,------ --,------,17078.8,1,0,0,817.8,0
04pFe19,8/3/22,50750,0,242,352,350,109,108,0.311,0.307,186.7,0.41,0.99,63,0.01,226,0.01,1067889,--------,-------,64,6142,0,253,0.04,2000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,405.3,1,0,0,15647,0
04pFe19,8/3/22,51198,0,268,357,356,89,87,0.249,0.246,231.5,0.68,0.9,70,0,165,0.09,1150722,--------,-------,70,105322,0,280,0.04,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,432.7,1,0,0,14189.5,0
04pFe21.9,8/3/22,50915,0,60,124,124,64,64,0.517,0.515,177.6,0.51,0.37,64,0.52,80,0.11,676587,--------,-------,73,75977,0,69,0.13,1800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,230.7,1,0,0,13647.7,0
04pFe21.9,8/3/22,51259,0,81,179,178,99,98,0.55,0.547,188.2,0.55,0.81,63,0.13,81,0.06,1240789,--------,-------,66,74986,0,94,0.14,1700,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,232.9,1,0,0,15232.9,0
04pFe19-N,8/3/22,50956,0,14453,17808,18682,3356,4229,0.188,0.226,311.2,0.39,0.69,567,0.24,4110,0.07,161434,--------,-------,1467,13416,0,14847,0.03,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,14728,1,0,0,681.7,0
04pFe19-N,8/3/22,51292,0,23540,26312,27319,2772,3780,0.105,0.138,275,0.52,0.7,626,0.23,5500,0.07,161316,--------,-------,1830,12804,0,23789,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,23771.7,1,0,0,546.3,0
04pFe19-N,8/4/22,60833,0,13173,20070,20395,6897,7221,0.344,0.354,223,0.27,0.7,446,0.22,3929,0.08,171106,-------,-------,1276,15551,0,13894,0.05,1000,-------- ---,----,-------- --,----- --,------ -,------ ---,----- -,------ --,------,-------- -,-------,13552.5,1,0,0,783.5,0
04pFe21.9-N,8/3/22,50981,0,7861,14107,14301,6246,6440,0.443,0.45,218.1,0.36,0.65,465,0.27,4429,0.08,229444,--------,-------,1628,19294,0,8435,0.07,1200,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8166.5,1,0,0,614.3,0
04pFe21.9-N,8/3/22,51338,0,8544,15125,15128,6581,6584,0.435,0.435,215.1,0.32,0.63,483,0.28,5054,0.1,165865,--------,-------,1878,17694,0,9188,0.07,1000,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,8930.3,1,0,0,532.5,0
04pFe19,9/26/22,46599,0,4412,7599,8104,3187,3692,0.419,0.456,189.8,0.39,0.72,407,0.22,3888,0.07,224527,--------,-------,1212,15749,0,4673,0.06,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,4628.6,1,0,0,824.8,0
