"orfs","ko_iteration","ko_id"
"NODE_10001_length_2060_cov_5.581278_g5365_i0.p1","ko:_1","K00914"
"NODE_10002_length_2059_cov_37.920947_g5366_i0.p1","ko:_1","K06911"
"NODE_10003_length_2059_cov_28.617321_g5366_i1.p1","ko:_1","K06911"
"NODE_10009_length_2059_cov_5.150050_g5369_i0.p1","ko:_1","K21797"
"NODE_10010_length_2058_cov_58.211083_g5370_i0.p1","ko:_1","K18038"
"NODE_10011_length_2058_cov_52.328967_g4722_i3.p3","ko:_1","K03020"
"NODE_10017_length_2058_cov_14.993451_g5375_i0.p2","ko:_1","K10203"
"NODE_10023_length_2057_cov_28.384073_g5377_i0.p1","ko:_1","K15043"
"NODE_1002_length_5045_cov_11.698512_g490_i0.p2","ko:_1","K01354"
"NODE_1002_length_5045_cov_11.698512_g490_i0.p1","ko:_1","K10407"
"NODE_10030_length_2056_cov_88.420071_g5381_i0.p1","ko:_1","K02088"
"NODE_10030_length_2056_cov_88.420071_g5381_i0.p1","ko:_2","K02206"
"NODE_10034_length_2056_cov_19.482602_g5385_i0.p1","ko:_1","K22378"
"NODE_10035_length_2056_cov_11.601109_g4036_i1.p1","ko:_1","K14404"
"NODE_10036_length_2056_cov_10.309632_g5386_i0.p1","ko:_1","K17506"
"NODE_1003_length_5045_cov_11.490949_g490_i1.p1","ko:_1","K10407"
"NODE_1003_length_5045_cov_11.490949_g490_i1.p2","ko:_1","K01354"
"NODE_10043_length_2055_cov_54.915237_g5390_i0.p1","ko:_1","K12486"
"NODE_10044_length_2055_cov_52.330474_g2371_i1.p1","ko:_1","K03686"
"NODE_10048_length_2055_cov_15.695257_g5392_i0.p1","ko:_1","K14645"
"NODE_1004_length_5044_cov_42.680547_g491_i0.p3","ko:_1","K01255"
"NODE_10051_length_2055_cov_12.485368_g5395_i0.p1","ko:_1","K02014"
"NODE_10053_length_2054_cov_75.396265_g5397_i0.p1","ko:_1","K17681"
"NODE_10053_length_2054_cov_75.396265_g5397_i0.p3","ko:_1","K17681"
"NODE_10054_length_2054_cov_75.083796_g5398_i0.p1","ko:_1","K18038"
"NODE_10057_length_2054_cov_25.174659_g5401_i0.p1","ko:_1","K04457"
"NODE_10057_length_2054_cov_25.174659_g5401_i0.p1","ko:_2","K04461"
"NODE_10059_length_2054_cov_23.907622_g5401_i1.p1","ko:_1","K04457"
"NODE_10059_length_2054_cov_23.907622_g5401_i1.p1","ko:_2","K04461"
"NODE_10060_length_2054_cov_21.521454_g5168_i2.p1","ko:_1","K14683"
"NODE_10067_length_2053_cov_41.512121_g5406_i0.p1","ko:_1","K02515"
"NODE_10067_length_2053_cov_41.512121_g5406_i0.p1","ko:_2","K06668"
"NODE_10067_length_2053_cov_41.512121_g5406_i0.p1","ko:_3","K18679"
"NODE_10067_length_2053_cov_41.512121_g5406_i0.p1","ko:_4","K18680"
"NODE_10069_length_2053_cov_18.241414_g5345_i1.p1","ko:_1","K06236"
"NODE_10069_length_2053_cov_18.241414_g5345_i1.p1","ko:_2","K19069"
"NODE_10072_length_2053_cov_10.567677_g5408_i0.p1","ko:_1","K09213"
"NODE_10072_length_2053_cov_10.567677_g5408_i0.p1","ko:_2","K10407"
"NODE_10072_length_2053_cov_10.567677_g5408_i0.p1","ko:_3","K17298"
"NODE_10072_length_2053_cov_10.567677_g5408_i0.p1","ko:_4","K22493"
"NODE_10077_length_2052_cov_55.663466_g5412_i0.p1","ko:_1","K03320"
"NODE_10077_length_2052_cov_55.663466_g5412_i0.p1","ko:_2","K07573"
"NODE_10079_length_2052_cov_39.931278_g2138_i7.p1","ko:_1","K10878"
"NODE_10079_length_2052_cov_39.931278_g2138_i7.p2","ko:_1","K10878"
"NODE_10082_length_2052_cov_19.473471_g5415_i0.p1","ko:_1","K00285"
"NODE_10083_length_2052_cov_18.953512_g5416_i0.p1","ko:_1","K11982"
"NODE_10083_length_2052_cov_18.953512_g5416_i0.p1","ko:_2","K19041"
"NODE_10085_length_2052_cov_11.040930_g5418_i0.p1","ko:_1","K08798"
"NODE_10098_length_2050_cov_26.476480_g5425_i0.p1","ko:_1","K02999"
"NODE_10099_length_2050_cov_26.461305_g5426_i0.p1","ko:_1","K14767"
"NODE_10099_length_2050_cov_26.461305_g5426_i0.p2","ko:_1","K14767"
"NODE_1009_length_5037_cov_43.665189_g493_i0.p1","ko:_1","K02608"
"NODE_100_length_8148_cov_23.666625_g56_i0.p1","ko:_1","K00284"
"NODE_100_length_8148_cov_23.666625_g56_i0.p2","ko:_1","K02335"
"NODE_10103_length_2050_cov_8.869499_g5429_i0.p1","ko:_1","K00558"
"NODE_10110_length_2049_cov_6.167004_g5433_i0.p1","ko:_1","K17656"
"NODE_10113_length_2048_cov_28.823291_g5434_i0.p2","ko:_1","K00441"
"NODE_10115_length_2048_cov_10.637468_g5436_i0.p1","ko:_1","K11204"
"NODE_10116_length_2048_cov_8.609620_g4221_i1.p3","ko:_1","K00816"
"NODE_10116_length_2048_cov_8.609620_g4221_i1.p3","ko:_2","K09142"
"NODE_10116_length_2048_cov_8.609620_g4221_i1.p3","ko:_3","K14264"
"NODE_10118_length_2047_cov_118.603343_g2128_i3.p1","ko:_1","K18327"
"NODE_10119_length_2047_cov_82.817629_g5438_i0.p1","ko:_1","K01312"
"NODE_10119_length_2047_cov_82.817629_g5438_i0.p1","ko:_2","K09640"
"NODE_10125_length_2047_cov_11.074975_g5441_i0.p1","ko:_1","K01230"
"NODE_10127_length_2047_cov_7.451368_g5443_i0.p1","ko:_1","K00459"
"NODE_10128_length_2047_cov_4.042047_g5444_i0.p1","ko:_1","K02355"
"NODE_1012_length_5036_cov_37.271610_g494_i0.p3","ko:_1","K00121"
"NODE_1012_length_5036_cov_37.271610_g494_i0.p2","ko:_1","K00121"
"NODE_1012_length_5036_cov_37.271610_g494_i0.p1","ko:_1","K00121"
"NODE_10131_length_2046_cov_48.095793_g5447_i0.p1","ko:_1","K09838"
"NODE_10134_length_2046_cov_12.609731_g5106_i1.p1","ko:_1","K07431"
"NODE_10137_length_2046_cov_5.668525_g5433_i1.p1","ko:_1","K17656"
"NODE_1013_length_5036_cov_36.785815_g494_i1.p2","ko:_1","K00121"
"NODE_1013_length_5036_cov_36.785815_g494_i1.p3","ko:_1","K00121"
"NODE_1013_length_5036_cov_36.785815_g494_i1.p1","ko:_1","K00121"
"NODE_10141_length_2045_cov_7.152130_g5453_i0.p1","ko:_1","K05349"
"NODE_10142_length_2045_cov_3.745436_g5454_i0.p1","ko:_1","K01312"
"NODE_10148_length_2044_cov_19.832065_g1649_i2.p1","ko:_1","K12880"
"NODE_10148_length_2044_cov_19.832065_g1649_i2.p1","ko:_2","K13379"
"NODE_10150_length_2044_cov_10.016743_g5386_i1.p1","ko:_1","K17506"
"NODE_10155_length_2043_cov_34.822843_g5460_i0.p2","ko:_1","K06662"
"NODE_10155_length_2043_cov_34.822843_g5460_i0.p1","ko:_1","K06662"
"NODE_10156_length_2043_cov_33.680203_g5461_i0.p1","ko:_1","K00285"
"NODE_10159_length_2043_cov_23.270558_g3657_i3.p3","ko:_1","K11412"
"NODE_10159_length_2043_cov_23.270558_g3657_i3.p1","ko:_1","K11412"
"NODE_1015_length_5033_cov_193.028024_g54_i2.p7","ko:_1","K07115"
"NODE_10160_length_2043_cov_16.012690_g5464_i0.p1","ko:_1","K09391"
"NODE_10169_length_2041_cov_81.084350_g4797_i2.p1","ko:_1","K16054"
"NODE_10170_length_2041_cov_60.684959_g5470_i0.p1","ko:_1","K11493"
"NODE_10177_length_2040_cov_59.914591_g61_i10.p2","ko:_1","K10393"
"NODE_10177_length_2040_cov_59.914591_g61_i10.p1","ko:_1","K10393"
"NODE_1017_length_5032_cov_16.065134_g496_i0.p1","ko:_1","K00558"
"NODE_10180_length_2040_cov_30.681749_g5477_i0.p1","ko:_1","K06709"
"NODE_10183_length_2040_cov_21.892222_g5480_i0.p1","ko:_1","K01649"
"NODE_10188_length_2039_cov_190.752798_g4250_i1.p1","ko:_1","K06269"
"NODE_10189_length_2039_cov_48.328077_g5484_i0.p1","ko:_1","K02575"
"NODE_1018_length_5031_cov_81.339048_g444_i2.p5","ko:_1","K00323"
"NODE_1018_length_5031_cov_81.339048_g444_i2.p1","ko:_1","K00323"
"NODE_1018_length_5031_cov_81.339048_g444_i2.p3","ko:_1","K00323"
