"orfs","ko_id","add_gene"
"NODE_21672_length_1701_cov_97.254300_g9556_i0.p1","ko:K17893","PTOX"
"NODE_24013_length_1596_cov_110.716349_g9556_i1.p1","ko:K17893","PTOX"
"NODE_26329_length_1498_cov_166.264561_g7016_i1.p1","ko:K17893","PTOX"
"NODE_32892_length_1239_cov_316.734991_g14883_i0.p1","ko:K17893","PTOX"
"NODE_10900_length_2324_cov_30.265215_g2102_i3.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_11380_length_2284_cov_48.440977_g5081_i0.p1","ko:K08433,ko:K16911","Rhodopsin"
"NODE_12132_length_2227_cov_32.681523_g2102_i4.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_12458_length_2203_cov_50.688263_g5081_i1.p1","ko:K08433,ko:K16911","Rhodopsin"
"NODE_19979_length_1782_cov_43.897601_g8791_i0.p1","ko:K08387,ko:K14593,ko:K14859","Rhodopsin"
"NODE_23120_length_1636_cov_50.158029_g8791_i1.p1","ko:K08387,ko:K14593,ko:K14859","Rhodopsin"
"NODE_28654_length_1404_cov_29.709992_g12727_i0.p1","ko:K08433,ko:K16911","Rhodopsin"
"NODE_41893_length_903_cov_13.089157_g19823_i0.p2","ko:K08433,ko:K16911","Rhodopsin"
"NODE_4760_length_3106_cov_63.873393_g2102_i0.p3","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_4760_length_3106_cov_63.873393_g2102_i0.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_4760_length_3106_cov_63.873393_g2102_i0.p8","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_4878_length_3080_cov_130.767210_g1215_i2.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_5018_length_3056_cov_103.495810_g1215_i3.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_5344_length_2989_cov_140.484568_g1215_i4.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_6250_length_2852_cov_73.587621_g2102_i1.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_6831_length_2774_cov_76.790448_g2102_i2.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_7130_length_2732_cov_109.939827_g3173_i0.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
"NODE_9401_length_2468_cov_126.707307_g3173_i1.p1","ko:K04412,ko:K08838,ko:K16288,ko:K17546","Rhodopsin"
