"orfs","pfam_iteration","pfam_id"
"NODE_10000_length_1734_cov_7.947622_g6638_i0.p1","pfam_1","ArsP_1"
"NODE_10001_length_1733_cov_212.025904_g6639_i0.p1","pfam_1","TPT"
"NODE_10003_length_1733_cov_40.357229_g5975_i1.p1","pfam_1","CRCB"
"NODE_10004_length_1733_cov_25.593373_g6640_i0.p1","pfam_1","NPL4"
"NODE_10006_length_1733_cov_22.527711_g6642_i0.p1","pfam_1","ArfGap"
"NODE_10007_length_1733_cov_15.900000_g6643_i0.p1","pfam_1","ArgJ"
"NODE_10008_length_1733_cov_15.203614_g6644_i0.p1","pfam_1","AAA"
"NODE_10008_length_1733_cov_15.203614_g6644_i0.p1","pfam_2","AAA_22"
"NODE_10009_length_1733_cov_13.272289_g6645_i0.p1","pfam_1","Lipase_3"
"NODE_1000_length_4089_cov_18.990040_g690_i0.p1","pfam_1","Pkinase"
"NODE_1000_length_4089_cov_18.990040_g690_i0.p2","pfam_1","DUF4336"
"NODE_10010_length_1733_cov_9.672892_g6646_i0.p1","pfam_1","Peptidase_C14"
"NODE_10011_length_1733_cov_8.899398_g6647_i0.p1","pfam_1","Proteasom_PSMB"
"NODE_10013_length_1732_cov_53.299578_g6649_i0.p3","pfam_1","HIT"
"NODE_10013_length_1732_cov_53.299578_g6649_i0.p2","pfam_1","HIT"
"NODE_10013_length_1732_cov_53.299578_g6649_i0.p1","pfam_1","DUF285"
"NODE_10013_length_1732_cov_53.299578_g6649_i0.p1","pfam_2","Laminin_G_3"
"NODE_10015_length_1732_cov_38.742616_g4088_i1.p1","pfam_1","RabGAP-TBC"
"NODE_10015_length_1732_cov_38.742616_g4088_i1.p1","pfam_2","TLD"
"NODE_10016_length_1732_cov_30.787221_g6651_i0.p1","pfam_1","RRM_1"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p2","pfam_1","Sigma70_r1_1"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p2","pfam_2","Sigma70_r1_2"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p2","pfam_3","Sigma70_r2"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p2","pfam_4","Sigma70_r3"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p2","pfam_5","Sigma70_r4"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p1","pfam_1","Sigma70_r2"
