"","Mod_Path","ko_id","ko_symbol","ko_name","sub_category","broad_category","mod.path_name"
"1","map00710","K00024","mdh","malate dehydrogenase [EC:1.1.1.37]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"2","map00710","K00025","MDH1","malate dehydrogenase [EC:1.1.1.37]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"3","map00710","K00026","MDH2","malate dehydrogenase [EC:1.1.1.37]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"4","map00710","K00028","39","malate dehydrogenase (decarboxylating) [EC:1.1.1.39]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"5","map00710","K00029","maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"6","map00710","K00051","82","malate dehydrogenase (NADP+) [EC:1.1.1.82]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"7","map00710","K00134","gapA","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"8","map00710","K00150","gapB","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"9","map00710","K00615","tktB","transketolase [EC:2.2.1.1]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"10","map00710","K00814","ALT","alanine transaminase [EC:2.6.1.2]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"11","map00710","K00855","prkB","phosphoribulokinase [EC:2.7.1.19]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"12","map00710","K00927","pgk","phosphoglycerate kinase [EC:2.7.2.3]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"13","map00710","K01006","ppdK","pyruvate, orthophosphate dikinase [EC:2.7.9.1]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"14","map00710","K01086","SEBP","fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"15","map00710","K01100","37","sedoheptulose-bisphosphatase [EC:3.1.3.37]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
"16","map00710","K01595","ppc","phosphoenolpyruvate carboxylase [EC:4.1.1.31]","Carbon fixation in photosynthetic organisms","photosynthesis","Carbon fixation in photosynthetic organisms"
