"orfs","ko_iteration","ko_id"
"NODE_10000_length_1734_cov_7.947622_g6638_i0.p1","ko:_1","K07089"
"NODE_10004_length_1733_cov_25.593373_g6640_i0.p1","ko:_1","K14015"
"NODE_10006_length_1733_cov_22.527711_g6642_i0.p1","ko:_1","K12493"
"NODE_10008_length_1733_cov_15.203614_g6644_i0.p1","ko:_1","K02213"
"NODE_1000_length_4089_cov_18.990040_g690_i0.p1","ko:_1","K08794"
"NODE_10015_length_1732_cov_38.742616_g4088_i1.p1","ko:_1","K21841"
"NODE_10016_length_1732_cov_30.787221_g6651_i0.p1","ko:_1","K13207"
"NODE_10017_length_1732_cov_29.587703_g6652_i0.p2","ko:_1","K03086"
"NODE_1001_length_4088_cov_9.859776_g691_i0.p1","ko:_1","K01769"
"NODE_1001_length_4088_cov_9.859776_g691_i0.p1","ko:_2","K12319"
"NODE_10021_length_1732_cov_9.789030_g6655_i0.p1","ko:_1","K21480"
"NODE_10023_length_1732_cov_4.029536_g6656_i0.p1","ko:_1","K14548"
"NODE_10031_length_1731_cov_53.437877_g6510_i1.p1","ko:_1","K12900"
"NODE_10035_length_1731_cov_12.430036_g6662_i0.p1","ko:_1","K14153"
"NODE_10036_length_1731_cov_11.042220_g6663_i0.p1","ko:_1","K00699"
"NODE_10036_length_1731_cov_11.042220_g6663_i0.p1","ko:_2","K04628"
"NODE_10036_length_1731_cov_11.042220_g6663_i0.p1","ko:_3","K05841"
"NODE_10038_length_1731_cov_7.559710_g6664_i0.p1","ko:_1","K05275"
"NODE_10041_length_1731_cov_6.639928_g6666_i0.p1","ko:_1","K18038"
"NODE_10042_length_1730_cov_126.343392_g5562_i3.p1","ko:_1","K17609"
"NODE_10044_length_1730_cov_89.404949_g6134_i1.p2","ko:_1","K19409"
"NODE_10044_length_1730_cov_89.404949_g6134_i1.p2","ko:_2","K20864"
"NODE_10048_length_1730_cov_17.552806_g6670_i0.p2","ko:_1","K06181"
"NODE_10049_length_1730_cov_16.177429_g6671_i0.p1","ko:_1","K12418"
"NODE_1004_length_4084_cov_8.117676_g691_i1.p1","ko:_1","K01769"
"NODE_1004_length_4084_cov_8.117676_g691_i1.p1","ko:_2","K12319"
"NODE_10058_length_1729_cov_29.607488_g6676_i0.p1","ko:_1","K01611"
"NODE_10067_length_1728_cov_39.688822_g6683_i0.p2","ko:_1","K04649"
"NODE_1006_length_4081_cov_69.235279_g693_i0.p1","ko:_1","K13412"
"NODE_10073_length_1727_cov_17.974607_g6686_i0.p1","ko:_1","K15113"
"NODE_10077_length_1727_cov_9.594317_g6690_i0.p1","ko:_1","K08843"
"NODE_10077_length_1727_cov_9.594317_g6690_i0.p1","ko:_2","K16175"
"NODE_10077_length_1727_cov_9.594317_g6690_i0.p1","ko:_3","K22038"
"NODE_10079_length_1727_cov_8.845828_g3970_i1.p1","ko:_1","K02327"
"NODE_10088_length_1726_cov_106.583787_g5954_i1.p1","ko:_1","K02575"
"NODE_10089_length_1726_cov_56.100423_g5747_i1.p2","ko:_1","K05700"
"NODE_10089_length_1726_cov_56.100423_g5747_i1.p2","ko:_2","K20660"
"NODE_10090_length_1726_cov_41.278282_g6157_i1.p1","ko:_1","K10839"
"NODE_10094_length_1726_cov_29.064731_g6696_i0.p1","ko:_1","K14793"
"NODE_10095_length_1726_cov_20.090139_g6697_i0.p1","ko:_1","K01341"
"NODE_10097_length_1726_cov_11.649123_g6663_i1.p1","ko:_1","K00699"
"NODE_10097_length_1726_cov_11.649123_g6663_i1.p1","ko:_2","K04628"
"NODE_10097_length_1726_cov_11.649123_g6663_i1.p1","ko:_3","K05841"
"NODE_10099_length_1726_cov_7.418633_g6699_i0.p1","ko:_1","K12373"
"NODE_1009_length_4077_cov_469.040460_g567_i1.p2","ko:_1","K01580"
"NODE_1009_length_4077_cov_469.040460_g567_i1.p2","ko:_2","K01594"
"NODE_100_length_7075_cov_23.999714_g72_i0.p2","ko:_1","K01341"
"NODE_10101_length_1725_cov_148.146489_g5279_i2.p1","ko:_1","K15371"
"NODE_10102_length_1725_cov_144.958838_g5279_i3.p1","ko:_1","K15371"
"NODE_10103_length_1725_cov_92.799637_g6312_i1.p1","ko:_1","K14304"
"NODE_10107_length_1725_cov_14.165254_g6703_i0.p1","ko:_1","K00128"
"NODE_10107_length_1725_cov_14.165254_g6703_i0.p1","ko:_2","K00138"
"NODE_10108_length_1725_cov_11.562349_g5753_i2.p1","ko:_1","K00500"
"NODE_10111_length_1725_cov_6.673729_g6706_i0.p1","ko:_1","K00784"
"NODE_10111_length_1725_cov_6.673729_g6706_i0.p2","ko:_1","K10733"
"NODE_10113_length_1724_cov_129.496063_g5562_i4.p1","ko:_1","K17609"
"NODE_10114_length_1724_cov_81.686856_g6707_i0.p1","ko:_1","K13125"
"NODE_10116_length_1724_cov_46.229558_g6708_i0.p1","ko:_1","K18733"
"NODE_10119_length_1724_cov_20.528770_g6710_i0.p1","ko:_1","K12183"
"NODE_1011_length_4076_cov_15.488634_g696_i0.p1","ko:_1","K16785"
