"orfs","ko_iteration","ko_id","V1"
"NODE_10001_length_2410_cov_80.405220_g4109_i1.p1","ko:_1","K01626",NA
"NODE_10002_length_2410_cov_65.305948_g2881_i1.p1","ko:_1","K11718",NA
"NODE_10005_length_2410_cov_31.803594_g4448_i0.p1","ko:_1","K10750",NA
"NODE_10006_length_2410_cov_13.604621_g4449_i0.p2","ko:_1","K11438",NA
"NODE_10007_length_2409_cov_241.316781_g4450_i0.p3","ko:_1","K00294",NA
"NODE_10007_length_2409_cov_241.316781_g4450_i0.p1","ko:_1","K00294",NA
"NODE_1000_length_4735_cov_215.655298_g270_i2.p1","ko:_1","K12828",NA
"NODE_10010_length_2409_cov_81.405822_g1802_i6.p5","ko:_1","K02516",NA
"NODE_10010_length_2409_cov_81.405822_g1802_i6.p5","ko:_2","K22070",NA
"NODE_10010_length_2409_cov_81.405822_g1802_i6.p5","ko:_3","K22071",NA
"NODE_10010_length_2409_cov_81.405822_g1802_i6.p2","ko:_1","K00938",NA
"NODE_10013_length_2409_cov_38.237586_g4453_i0.p2","ko:_1","K14696",NA
"NODE_10013_length_2409_cov_38.237586_g4453_i0.p6","ko:_1","K14696",NA
"NODE_10013_length_2409_cov_38.237586_g4453_i0.p4","ko:_1","K14696",NA
"NODE_10014_length_2409_cov_37.056507_g3102_i2.p1","ko:_1","K09649",NA
"NODE_10016_length_2409_cov_12.485873_g4454_i0.p1","ko:_1","K07055",NA
"NODE_10016_length_2409_cov_12.485873_g4454_i0.p1","ko:_2","K10277",NA
"NODE_10016_length_2409_cov_12.485873_g4454_i0.p1","ko:_3","K18055",NA
"NODE_10019_length_2408_cov_60.456103_g4457_i0.p1","ko:_1","K11968",NA
"NODE_1001_length_4735_cov_32.820034_g440_i0.p3","ko:_1","K09250",NA
"NODE_10022_length_2408_cov_16.855246_g1602_i3.p6","ko:_1","K12618",NA
"NODE_10022_length_2408_cov_16.855246_g1602_i3.p6","ko:_2","K12619",NA
"NODE_10022_length_2408_cov_16.855246_g1602_i3.p6","ko:_3","K20553",NA
"NODE_10022_length_2408_cov_16.855246_g1602_i3.p3","ko:_1","K12618",NA
